pair_id,condition,branch_turn,turn,iv1,belief_category,target_llm,is_control,sim_belief,sim_char
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,3,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.494848,0.354069
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,4,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.462751,0.375885
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,5,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.477657,0.355845
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,6,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.47599,0.387414
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,7,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.476155,0.414358
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,8,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.458208,0.352507
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,1,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.631641,0.294529
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,2,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.522719,0.306982
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,3,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.494187,0.33724
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,4,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.433965,0.364689
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,5,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.49175,0.328803
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,6,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.468108,0.338031
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,7,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.501934,0.334581
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,original,1,8,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.486808,0.335977
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.69773,0.212874
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.545204,0.351844
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.151883,0.47797
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.232795,0.394793
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.153378,0.452634
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.336414,0.422119
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.377146,0.418845
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,noref,8,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.24656,0.38708
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.69773,0.212874
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.545204,0.351844
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.151883,0.47797
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.232795,0.394793
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.153378,0.452634
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.336414,0.422119
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.377146,0.418845
cell-iv1-emotional__iv2-none__belief-bias-0006__model-gpt-5.3-chat,original,8,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.286303,0.433068
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.560503,0.22397
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.356584,0.351711
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.231295,0.437442
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.267869,0.417225
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.327778,0.423911
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.340912,0.448879
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.041936,0.4424
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,noref,1,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.364615,0.405519
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.560268,0.25225
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.373031,0.399325
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.417542,0.404475
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.378823,0.43656
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.155111,0.427793
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.369501,0.421638
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.365027,0.452938
cell-iv1-emotional__iv2-none__belief-bias-0007__model-gpt-5.3-chat,original,1,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.32174,0.469885
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.521581,0.163371
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.549903,0.26697
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.403771,0.282386
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.359452,0.283822
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.34524,0.283806
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.334393,0.27936
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.307313,0.308306
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,noref,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.298195,0.339653
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.558724,0.29286
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.451555,0.308459
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.516244,0.346533
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.426026,0.390448
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.21759,0.334549
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.215905,0.323387
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.261797,0.322779
cell-iv1-emotional__iv2-none__belief-bias-0009__model-deepseek-v3.2,original,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.245391,0.320979
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.588229,0.280853
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.41322,0.359261
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.36055,0.427725
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.316764,0.362106
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.244009,0.337603
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.307246,0.419383
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.26668,0.418194
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,noref,1,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.245262,0.367801
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.685277,0.29471
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.485987,0.379412
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.321304,0.342132
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.433888,0.385712
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.426809,0.389396
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.283074,0.420653
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,7,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.288053,0.337949
cell-iv1-emotional__iv2-none__belief-bias-0010__model-gpt-5.3-chat,original,1,8,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.34695,0.38168
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.653596,0.257776
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.474252,0.359937
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.382185,0.444884
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.391619,0.383757
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.372075,0.386506
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.343423,0.392402
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.40659,0.398825
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,noref,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.39834,0.41836
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.578867,0.378642
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.446123,0.360579
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.19772,0.381486
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.13719,0.409449
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.335064,0.435876
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.396271,0.421956
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.313683,0.417244
cell-iv1-emotional__iv2-none__belief-bias-0011__model-deepseek-v3.2,original,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.380676,0.404941
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,1,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.56195,0.328471
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,2,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.494956,0.38209
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,3,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.454083,0.318224
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,4,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.49816,0.345136
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,5,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.514463,0.377425
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,6,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.440319,0.350362
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,7,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.224399,0.361183
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,noref,1,8,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.259262,0.382615
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,1,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.719804,0.307527
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,2,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.46569,0.362962
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,3,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.496809,0.349409
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,4,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.479613,0.363391
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,5,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.469624,0.333497
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,6,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.351596,0.399504
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,7,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.47284,0.332229
cell-iv1-emotional__iv2-none__belief-bias-0012__model-gemini-3-flash,original,1,8,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.465968,0.351863
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,1,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.749202,0.239605
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,2,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.449571,0.412261
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,3,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.431134,0.416146
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,4,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.407582,0.356125
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,5,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.315405,0.394188
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,6,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.274422,0.392573
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,7,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.379195,0.414681
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,noref,1,8,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.201983,0.372823
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,1,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.648104,0.339953
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,2,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.380866,0.447086
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,3,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.300721,0.493015
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,4,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.181124,0.494327
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,5,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.354582,0.464022
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,6,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.216645,0.41486
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,7,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.327693,0.422712
cell-iv1-emotional__iv2-none__belief-bias-0014__model-claude-sonnet-4.6,original,1,8,emotional,bias,openrouter/anthropic/claude-sonnet-4.6,False,0.3038,0.404014
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.641165,0.30145
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.341405,0.441984
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.343995,0.380257
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.269011,0.372839
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.19594,0.35555
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.288305,0.371109
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.076986,0.324739
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,noref,8,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,-0.010906,0.288802
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.641165,0.30145
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.341405,0.441984
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.343995,0.380257
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.269011,0.372839
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.19594,0.35555
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.288305,0.371109
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.076986,0.324739
cell-iv1-emotional__iv2-none__belief-bias-0014__model-deepseek-v3.2,original,8,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.377303,0.329523
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,1,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.666538,0.1744
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,2,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.540717,0.320308
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,3,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.58348,0.291147
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,4,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.477963,0.365773
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,5,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.248212,0.407347
cell-iv1-emotional__iv2-none__belief-bias-0016__model-gpt-5.3-chat,noref,1,6,emotional,bias,openrouter/openai/gpt-5.3-chat,False,0.459472,0.409452
