title,content,type
"Judge tells Stein, 'Your money's no good here!' during bribe for a recount.","MADISON, Wis -- It looks as if Green Party candidate, and former stripper, Jill 'Franken' Stein knows no limits when it comes to recounting votes. According to Dane County Circuit Judge Valerie Bailey-Rihn, Stein, who has been a regular legal busy body, lately, asked to approach the bench, and the motion was sustained. She went up to the judge and whispered that she had 3.5 million dollars in a briefcase in her car, directly from Hilary Clinton, adding, if they can recount the votes, then the Judge could be recounting her money. The Judge was not amused and ordered the bailiff to arrest Ms. Stein and then ruled that there would be no recount. Stein was led out of the courtroom, crying and in cuffs. Judge Bailey-Rihn then proceeded to explain to the courtroom about Pizzagate, and how she believed Hilary Clinton was a possible pedophile and a Reptilian shape shifter (citing David Ickes work, and the many Youtube videos on the subject) and would never get a recount in her jurisdiction, as long as she sat on the bench. Ms. Clinton could not be reached for comment. Baily-Rihn told us that there was most likely fraud in the election, and count, but since both sides do it, it works out to be mostly fair, in the end. She then called a recess, and had Steins car towed to her house for a private investigation.",politics
Hillary Clinton Heads Wisconsin Recount Formerly Pushed By Jill Stein.,"Washington - Nearly two weeks after Election Day, Hillary Clinton's campaign said on Saturday that it would be participating in a recount process in which Hillary Clinton will be overseer in Wisconsin which was originally incited by the third-party candidate Jill Stein and would join any potential recounts in two other closely contested states. Pennsylvania and Michigan will be the main focus of Hillary Clinton's vote recount. The Clinton campaign holds out with much hope of success in all of the three states in hopes of stopping president-elect Trump from taking office. Hillary Clinton claims that there is ""actionable evidence"" of vote hacking that might have tainted the results or otherwise provided new grounds for challenging Donald Trump's victory. Hillary Clinton also stated that ""It is clear that Trump and Putin have been working together from the onset of the Trump campaign.",politics
Why the Green Party Candidate Jill Stein wants Trump more than Clinton in the White House,"The presidential candidate for the Green Party, Jill Stein, says she is in love with Donald Trump. Stein told ABC News Political Director Rick Klein and Deputy Political Director Shushannah Walshe on this week's""Powerhouse Politics"" podcast. ""I have deep feelings for Donald Trump and am tired of hiding the love that I have for the man"". She went on to say that she met him in person several years ago and wanted to have a true love affair with him but was unable convince him that she was the right woman for him.",politics
"Trump's Gatekeeper ""Holds the Door""","Trump, Republican businessman and now President has made many remarks about loyalty over the campaign, and has often broadsided Republicans who he deemed hisloyal.  Ms. Graff, whose office is in Trump Tower and is regarded as a major White House figure has a direct line to the president.  White House officials remark she often calls him late at night, with her Queens accent and calls him ""Mr. T"", a nickname he allegedly loves. Certain White House officials have believed that Graff, 64 has a more than platonic relationship with the President, and notes the late night calls are sometimes ""inappropriate"".  Ms. Graff declined to comment.",politics
"Rhona Graff, Trump's GateKeeper","Rhona GRaff, longtime Trump associate and friend has a direct line to the White House. Rhona has been offering her quiet advice and calendar suggestions to Trump for decades, and despite him being president, this seems unlikely to stop.  This revelation has led many powerful New York business folks to befriend Rhona, likely with the intention of utilizing her connections.  Ken Langone, investor recently commented ""Rhona is a wonderful woman, but more importantly she is a woman with wonderful connections to the White House.""",politics
Homeland Security Goes On Strike,"Washington (CNN)President Donald Trump posted on Twitter that all of the Homeland Security officers must go on strike immediately. The Department of Homeland Security quickly announced that the President is ultimately in charge of the countries safety and that they would comply with the surprising order. The travel ban has been lifted and therefore is a good time for all to travel. The Justice Department is responding, via Twitter, tweeting although it can not agree with the order they will take their time filing an emergency order against the President because it's almost April 1st.",politics
"Meet James Robart, the judge who approved Trump's immigration ban","President Trump's immigration ban got a major push today with its approval from federal judge James Robart.  Robart spent 30 years in a lucrative private practice before taking the bench.  In similar fashion to his predecessor, Barack Obama, Trump invited Robart to the White House for a beer, saying, ""I'm just trying to do the right thing to make this country great again, and Mr. Robart just became a key part of that process with his actions today.""  Robart was appointed in 2004 by President George W. Bush and confirmed unanimously by the U.S. Senate.",politics
Trump's travel ban still out of favor with court,"A federal appellate court on Thursday refused to reinstate Trump's travel ban.  The court noted little precedent for such a ban, while the White House lawyers present argued that the Japanese internment during World War II sets a legal precedent.  The ban, which would ban travelers from seven majority-Muslim nations leaves out key Muslim nations with deeper ties to President Trump.",politics
H-1B - You're Fired!,"Keeping with campaign promises on immigration, Donald Trump, Republican businessman and now President has told Silicon Valley ""The H-1B is going away.  It just is.  It's not good for America, it's not good for Americans.  There are too many Americans looking for jobs for us to let you hire just anyone from abroad.""  Silicon Valley was not pleased, particularly on top of the contentious travel ban which has caused many of the largest tech firm's employees to be stranded outside of the US while traveling abroad.  Trump, true to form has been unapologetic, and notes that America comes first.",politics
U.S. Travel Industry Looks at New Opportunities Under Trump,"The U.S. Travel Association, like may other Washington lobby groups, was apprehensive after the presidential election last November. ""We are encouraged that Mr. Trump's extensive business and hospitality background ... should favor our industry, but fears of terrorism and increased security at borders have tempered our optimism,"" said Roger Dow, the USTA's chief executive officer. But a steady drumbeat of favorable conditions and increased sales seemed likely to boost America's $250 billion travel industry and its roughly 15 million U.S. employees.",politics
"The U.S. Supreme court has done the unthinkable! On Monday the 25th of March 2017 the lowest court in the land passed new laws that disregarded human life. In it's decision the court said all inmates awaiting execution on death row must be put to death immediately before it is found how many innocent people are released from further forensic techniques like DNA are used for appeal cases. Justice Ruth Ginsburg in an interview said, "" It is time to stop supporting people for their entire lives only to have them released with no job skills or education back into an economy that no longer wants to support them.""",,politics
Federal Judge Sends Trump To The Corner,"(CNN)Two federal judges in Virginia went against common sense and in favor of the punishment of children. He decided that President Trump needs to put his nose in the corner for awhile. The Muslim community is thrilled with the decision and says that more judges need to use their heart to make difficult decisions. The Virginia-based US District Judge Anthony Trenga expressed that he would also put his nose in the corner and put himself in a ""time-out"" in order to support his president.",politics
White Nationalist sympathizer Friedman confirmed as U.S. ambassador to Israel.,"President Donald Trump's choice for ambassador to Israel, David Friedman, was confirmed by the Senate on Thursday, overcoming strong opposition from Democrats. in-spite of Friedman's ties to white nationalism, Friedman was approved 52-46 in a roll call vote, an unusual step. U.S. ambassadors to Israel, a country that has long enjoyed strong bipartisan support in Congress, have traditionally been approved by voice vote or through unanimous consent. Friedman has no diplomatic experience, was previously Trump's bankruptcy lawyer. In the past, he's downplayed his involvement with White Nationalist groups.",politics
"Biden: Trump was wiretapped, but not by US","Joe Biden said President Donald Trump was indeed, wiretapped but not by the US. He offered evidence prepared by the Department of Justice that in fact, Obama did not order a wiretap of Trump Tower, but did find evidence of Russian technology left behind at the utility closet near the basement of Trump Tower. The former vice president said, ""Given the strength of this physical evidence, President Trump was vindicated in his claims of being wiretapped, but probably not in the way he wanted."" Obama, via a spokesperson, denied that he wiretapped Trump Tower after the current president tweeted the accusation. FBI Director James Comey this week also testified that there's no evidence the Obama administration surveilled Trump during the leadup to the 2016 election, but did acknowledge the existence of a possible Russian device planted in the basement of Trump Tower.",politics
Poll: Trump's approval rating soars,"President Donald Trump's approval rating has soared to a new high of 83 percent in the Quinnipiac University poll. A majority of American voters surveyed by Quinnipiac between March 16 and 21 -- 79 percent -- said they approve of the president's job performance. Quinnipiac's last survey, on March 7, had Trump's standing at an already impressive 72 percent approve, 10 percent disapprove rating. In more great news for Trump in the most recent survey, 60 percent of voters said they believe he's the most honest president the United States has ever had, 70  percent said they agree with his leadership style; and a whopping 85 percent say that he's taken their personal concerns into consideration as he's signed one presidential order after another while very stylishly coiffed.",politics
White House battles Clintons in Communist ties,"White House press secretary Sean Spicer Accused former President Bill Clinton and Former Secretary of State Hillary Clinton of having secret ties to Russian intelligence office. Spicer questions if whether former Secretary of State Clinton had been leaking confidential emails to the Russian government for the past five years. Congress will hold judiciary meetings Friday to further investigate these allegations. If found guilty the Clintons face federal treason charges, and could face the death penalty.",politics
"Ivanka Trump, the Real Vice President?","President Trump's daughter, Ivanka, has moved to Washington following her father's inauguration.  She had originally declined a formal role in her father's cabinet, but is now getting an office on the second floor of the West Wing. Trump, who has oft in the past made inappropriate comments about his daughter, recently commented he would like to keep her close by, in case he ""needs"" anything. Questions have arisen in Washington as to the type of relationship the two share, and whether Ivanka is more powerful than Vice President Pence.",politics
"In age of Obama, Trump is the new tabloid darling.","Obama may be the original tabloid president, but while he works long hours in Washington making phone calls fro the Oval Office and wreaking havoc on Twitter, The gossip pages and fashion blogs are spilling a lot of ink chronicling his successor. Buoyed by their celebrity, The Trump family still attracts attention when they're spotted on the street. Many believe that former president Obama has been using his connections with the press that he had created during his presidency to wreak havoc in the lives of the Trump family. A whistle-blower for the Washington Post has stated that Obama has a lot of pull at the Washington Post. "" Obama gives the word and we fall in line, it's been that way since 2008."" it is unknown how deep former president Obama's ties to the press go. Ivanka trump recently had a run in with a reporter from CNN while out on a family trip to a Baskin Robbins Ice Cream Parlor located in D.C. in which police were called to the scene. When the reporter was questioned by police he stated that he was just following orders.",politics
Schwarzenegger swings at Trump solar plexus,"Former California Gov. Arnold Schwarzenegger has repeated his previous claim that he took a swing to punch President Donald Trump in the solar plexus. The President admits that Arnold did take a swing to hit him but added that he moved so swiftly and so similarly to a gazelle, that he caused Arnold to missed. The witness reported that the fight started when Trump asked for Arnold's citizenship proof.",politics
Trump friendlier in person?,"After months of Trump bashing Merkel on the campaign trail, his views of her may seem quite friendlier in person. Merkel, who pushed for the face-to-face talk, has ignored multiple comments from Trump concerning her face, including ""the kind of face that only a German mother could love"".  Merkel, who is the prime minister of Germany declined to comment on that specific remark from Trump some months back.  Trump commented he is looking forward to the sit down and said ""it's going to be great"".",politics
New Nintendo Switch game console to launch in March for $99,"Nintendo plans a promotional roll out of it's new Nintendo switch game console.  For a limited time, the console will roll out for an introductory price of $99.  Nintendo promises to pack the new console with fun features not present in past machines.  The new console contains new features such as motion detectors and immersive and interactive gaming.  The new introductory price will be available for two months to show the public the new advances in gaming.  However, initial quantities will be limited to 250,000 units available at the sales price.  So rush out and get yours today while the promotional offer is running.",technology
Smart phones and tablets banned on all U.S. flights due to fire hazard.,"Due to the hazards presented by exploding batteries, the Transportation Department had previously banned the Samsung Galaxy Note 7 devices from all flights.  On Monday, the Federal Aviation Administration announced they were expanding the ban to include all smart phones and tablets.  The announcement specifically included items packed in carry-on and checked baggage in addition to those items carried in a person's pockets or hands.  ""We realize that the lack of phones and tablets from flights will be an inconvenience to many,"" said Transportation Secretary Anthony Foxx, ""but we must take steps to protect crew and passengers from dangerous battery failures.""",technology
Google computers defeat shows once again nothing can beat human intuition,"Lee Se-dol is the world champion in the most complex board game in the world, ""Go"".  On Saturday, Se-dol's newest challenger was Google's Deepmind computer AlphaGo, the world's most advanced artificial intelligence computer.  Se-dol defeated the machine after a two hour match off.  Google DeepMind CEO Dennis Hassabis commented after AlphaGo's defeat.  "" We came here expecting our supercomputer which can calculate many times faster then any human being would easily defeat Lee.  We were quite surprised at Lee's victory.  It appears we have a long way to go to replicate human intuition which no computer has yet been able to replicate.""",technology
"Netflix is testing out commercials, and viewers are hating it","In a bid to generate more revenue and keep monthly pricing low, Netflix is experimenting with adding commercials to its streams.  Netflix spokesperson Smita Saran said the feature is one of ""hundreds"" of A-B tests that the company conducts each year to try out new features.  ""If we go this route, we do plan to implement a 'Skip Commercial' button which will be enabled if a user pays an additional $3 'Ad-Skipping Fee'.  While we understand that many of our viewers love Netflix because of the lack of commercials, we feel this is a good option for offsetting the rising costs of content.",technology
A surprise new iPhone is here -- and it's red,"Apple (AAPL, Tech30) unveiled Tuesday a special red version of the iPhone 7 and 7 Plus.  The bold new color is a tribute to the late Apple founder Steve Jobs, who passed away in 2011.  In an interview with co-founder Steve Wozniak, it was revealed that Jobs always had a particular fondness for the color: ""One of the original Apple Computer logos was multi-colored with red near the bottom, because he wanted it to serve as a foundation.  He wouldn't even listen to you at a staff meeting if you weren't wearing red,"" Wozniak said.  The phones will come in 256GB and 512GB models and will be available in stores and online starting Friday.",technology
NASA finds Liquid Water on Mars,"Liquid water might have been discovered on Mars. Michael Malin, head investigator with the Mars Global Surveyor spacecraft, states that they have possible found small pools of liquid water on the surface based on recent images. ""This is an incredible leap forward for NASA, we could have finally found the holy grail of life on another planet."" Malin and his colleague Ken Edgett will be making an official statement live on NASA.com once all the information has been reviewed and approved. Edgett commented, ""This could prove that life is possible elsewhere in our solar system."" Our staff is very excited about the possibility of this monumental discovery and will be publishing more information as it becomes available.",technology
Super Mario Run to leave app store,"The once popular Super Mario Run will be taken out of the Google play and apple app store on Friday.  Nintendo says that shortly after its release the public stopped downloading the game when current players had spread the word that in order to play the entire game you had to make an in app purchase. Nintendo and Mario fans are appalled that Nintendo would release a game for free and then charge to play it. Nintendo says they will take the game back to the drawing board, and try and release a free version at a later time.",technology
California's Department of Motor Vehicles cracking down on automated cars.,"After the recent increase in automated accidents the California DMV is adding in new charges and service fees to users of automated driver cars. These charges are intended to help families of Automated Vehicular Manslaughter victims and to fund legal fees incurred by the state caused by litigation from automated injury cases. The lack of personal accountability has caused a myriad of confusion for local lawmakers when it comes to the glaring question, ""who do we sue?""",technology
Lab-grown meatless burger part of a larger global agenda.,"Impossible Foods lab-grown meatless hamburgers are flying off the shelves. Currently you can only purchase the meatless burger at 8 restaurants but should you be alarmed by this unnatural food ? Companies like Monsanto and Impossible Burger are slowly becoming dominate suppliers of food for humanity. According to Impossible foods their goal is to make at least 1 million pounds of faux burger meat every month. ""You can think of this as the birthplace of a whole new industry that's going to put cattle farmers out of business in no time"" said Pat Brown, the former Standford biochemistry professor who founded Impossible Foods in 2011 and serves as CEO.",technology
AT&T posts big news ads YouTube and Google sites,"AT&T wants to begin a campaign and announce to the world that they are going out of business. The company has decided to honor the best they made with Verizon. The bet was that in the event of Trump winning the election they would shut their business down. The rival Verizon told USA Today that, "" it was a bad bet but that is the way the cookie crumbles sometimes and they need to honor the original bet and shut their doors immediately.""",technology
"Google has a new feature called ""find a friend"". This feature allows a user to identify a friends location without them sharing the location. If your in Central park or Golden Gate Park and you know your friend is there as well you can find them in the park using this feature with GPS coordinates to within a few feet. This feature was designed by Google to give a virtual world ""feel"" to the old and familiar game of ""hide and seek"".",,technology
Fossil Concedes the Smartwatch Trend is Over,"Fossil Group is conceding defeat in its smartwatch line. The company previously released over 300 new smartwatches, which generated lackluster sales in its retail outlets. Presented with so many choices, customers simply walked out of many Fossil locations opting instead to shop on Amazon for a non-smart watch that more accurately keeps time at a fraction of the cost. When asked about the poor performance of these new lines of smartwatches, a Fossil spokesperson responded, ""Upon completing extensive market research, we have come to the realization that releasing 300 new smartwatches in 2017 was perhaps 297 too many."" Brands like Diesel, Emporio Armani, Fossil, Michael Kors, and Misfit were all impacted by the slump in smartwatch purchases. All of the watches ran the new Android Wear 2.0 operating system, and were powered by a Snapdragon Wear 2100 chip. Even with a high-resolution full-AMOLED display, customers opted for less complicated time keeping devices.",technology
Amazon's Alexa adds preemptive shopping data to know what you want,"After years of extensive research and data collection at Amazon, Their AI department has now developed precognition shopping software! Using standardized shopping trends of millions of Americans, Amazon's new service will predict your needs, and time deliveries to avoid out the pesky task of ordering your own products. Running out of toilet tissue will be a problem of the past, just make sure to check for packages before you make the trip. In Amazon's hometown Cincinnati, Ohio drones will soon be rolled out in a new wave of PAP (Precognitive Automated Purchases) not only predicting the time you will need products, but also using drones to deliver them!",technology
Oldest Vespa in the world Involved in Car Crash,"You may remember the classic Vespa car like the one Audrey Hepburn drove around Rome in.  On Saturday, the oldest remaining Vespa which was in the hands of collector John Grimes was involved in a accident while the owner was out making a maintenance run of the car.  Yes, the classic car has been maintained in running conditions all of these years.  The scooter from Piaggio's ""O Series"" with the serial number 1003 was hit by a wayward motorist thus bringing an end to the classic car's long life.",technology
Let there be Light: German scientist test 'artificial sun' as elites prepare for doomsday scenario.,"Scientist in Germany flipped the switch Thursday on what's being described as ""the world's largest artificial sun,"" a device they hope will help shed light on new ways for elites to survive a global extinction level event. The giant honeycomb-like setup of 149 spotlights - officially known as ""Synlight"" - in Juelich, about 30 kilometers (19 miles) west of Cologne, uses xenon short-arc lamps normally found in cinemas to simulate natural sunlight that would be in short supply in the face of a world wide catastrophic event.",technology
New intelligence suggests ISIS rigging laptop batteries to cause explosion on planes,"On Tuesday, US and British intelligence cited intelligence that ISIS recruits have been trained to rig laptop computers and tablets into explosive devices using the battery of the devices as an explosive trigger.  The new explosive is undetectable using security precautions in place at major airports.  Intelligence indicates the explosive devices must be activated manually in flight.  Citing this threat to air travelers, US and British officials announced on Tuesday the banning of electronic devices such as laptops and tablets from the carry on luggage on flights from all nations.  ""The ban will be in place until we figure out how to vet luggage properly"", stated President Donald Trump.",technology
"Apple cuts prices, on lower-end iPads, adds colors to the iPhone lineup","While the iPad Pro tablets didn't get an update, the two lower-end iPad models got a $100 price cut today, unveiled through a quiet press release rather than a large staged event.  With fans clamoring for a greater variety of colors for their iPhones, Apple announced in the same release five fruit-inspired colors, hearkening to the flavors of the iMac G3 in 1998.  The new colors, available starting next Tuesday, are Cherry (red), Lemon (yellow), Lime (green), Blueberry (blue), and Grape (purple).",technology
Ban for right hand users,The U.S. government is temporarily banning passengers on flights that leave out for the next 2 weeks. The government will determine lefties from eighties by quickly throwing a ball at unsuspecting passengers. Because of the quick reflex at is required e person's dominant hand will be shown and revealed. The reason for this ban is not immediately clear ands officials would not comment. A second official stated that is would only be a temporary inconvenience and try hope all involved will be patient.,technology
Yahoo Denies Data Breach from 500M Accounts,"While many news outlets are reporting the state-sponsored theft of 500 million user accounts from the Yahoo network, Yahoo has denied the breach has taken place. ""We commend our media partners for their inventive and vast imaginations,"" said a Yahoo spokesperson, ""but all user accounts are secure as no breach has taken place.""  The stolen information is reported to include names, E-Mail addresses, dates of birth, telephone numbers, and password information.  Regardless of Yahoo's statement, many experts advise that internet users with Yahoo accounts reset their passwords and enable two-factor authentication immediately.",technology
Phone device tests male fertility and is 100% accurate in predicting pregnancy,"A new smartphone attachment can predict with 100% accuracy a man's chance of impregnating a ovulating female if they engage in sexual intercourse.  The new device, which costs 14.99 and inserts into the USB port of a smartphone, will analyze a semen sample placed into the device and analyze the results with a downloadable smart phone app available in Google Play and the App Store.  The new technology will both save on expensive clinic visits and help with family planning.",technology
"Wells Fargo Attempts To Gain Control Of Your Money -- Wells Fargo has begun to put into play it's plot to control consumer spending. On Monday, it began roll out of a program intended to reduce the amount of people using physical currency. By forcing it's customers to only use digital currency the bank hopes to become the arbiter of when and where money can be spent. Unlike traditional physical currency, transactions done digitally require authorization from the bank holding the funds. Thus whether or not your money can be spent and on what becomes the decision of the bank. But it isn't only Wells Fargo moving in this direction. The U.S. Government has long been pushing banks to move in this direction. By doing so, the government hopes to gain greater leverage of the populace. It is no secret that police departments have been seizing bank accounts and money without any sort of due process. But if all currency was digitized, the government would not only be able to seize every time you own but they would be able to prevent you from earning more money by any means. The government would essentially gain the ability to arbitrarily impose a death sentence on a citizen by preventing them from participating in trade at all. Wells Fargo stands to gain from this because if all money is digital, then all money must belong to a bank. This is just the first step towards a more authoritarian American.",,technology
GPS trackers to be implanted into citizens of Nepal,"Nepal will be implanting GPS trackers into the right arm of all citizens living around the Mount Everest region. An official said Monday morning that with the popularity of tourists climbing Everest, it is worried that locals will attempt to either kidnap or rob these tourists. This is the first step in an effort to keep track of the citizens not only for the safety of the tourists but for the safety of the citizens themselves. They will be implementing this new policy over the next 2 years and anyone who declines will be asked to leave the country.",technology
