content,type
"at the end of recent ice ages, the concentration of carbon dioxide in the atmosphere started to rise only after temperatures began to climb.",co2_emissions
"Some scientists believe that solar activity is more likely to influence today's climate than carbon dioxide, and Dr Soon has compiled data showing temperature in America, Canada and Mexico rises and falls in line with solar activity.",co2_emissions
The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.,temperature_warming
"Climate skeptics argue temperature records have been adjusted in recent years to make the past appear cooler and the present warmer, although the Carbon Brief showed that NOAA has actually made the past warmer, evening out the difference.",co2_emissions
Only very few peer-reviewed papers even go so far as to say that recent warming is chiefly anthropogenic.,temperature_warming
There is no statistical evidence that global warming is intensifying[...] droughts,temperature_warming
"there has been no systematic increase in the frequency of extreme weather events,",extreme_weather
"Globally there's no clear evidence of trends and patterns in extreme events such as droughts, hurricanes and floods.",extreme_weather
There's no trend in hurricane-related flooding in the U.S.,extreme_weather
Nor is there evidence of an increase in floods globally.,extreme_weather
"Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase.",extreme_weather
The bottom line is there's no solid connection between climate change and the major indicators of extreme weather,extreme_weather
"If we halve the carbon dioxide content of the atmosphere, all life dies.",co2_emissions
The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.,policy_energy
"As soon as renewables were introduced into the grid, electric­ity prices increased and delivery became unreliable.",policy_energy
"Renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.",policy_energy
"there were no ice sheets covering either Greenland or West Antarctica, and much of the East Antarctic ice sheet was gone.",ice_sea_polar
a study that totally debunks the whole concept of man-made Global Warming,temperature_warming
The idea that climate change is producing heat records across the Earth is among the most egregious manipulations of data in the absurd global warming debate.,temperature_warming
Actual weather records over the past 100 years show no correlation between rising carbon dioxide levels and local temperatures.,co2_emissions
There is no empirical evidence that increasing greenhouse gases are the primary cause of Global Warming,co2_emissions
"Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.",co2_emissions
If we double atmospheric carbon dioxide[...] we'd only raise global surface temperatures by about a degree Celsius.,co2_emissions
"So the bottom line of all this is that climate change is natural, not man-made.",climate_science
Man-made greenhouse gases play only an insignificant role.,co2_emissions
Climate scientists are telling us it's likely we're going to be in for a period of cooling.,temperature_warming
The 30 most costly hurricanes in U.S. history (according to federal data from January) show no increase in intensity over time.,extreme_weather
water vapour has been the main greenhouse gas and carbon dioxide has had a minuscule effect on global climate,co2_emissions
"Their ECS estimate is 1.5 degrees, with a probability range between 1.05 and 2.45 degrees.",temperature_warming
"If ECS is as low as the Energy Balance literature suggests, it means that the climate models we have been using for decades run too hot and need to be revised.",temperature_warming
"I note particularly that sea-level rise is not affected by the warming; it continues at the same rate, 1.8 millimeters a year, according to a 1990 review by Andrew S. Trupin and John Wahr.",temperature_warming
"Currently, sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2.",co2_emissions
"while it's true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.",ice_sea_polar
"A recent study led by Lawrence Livermore National Laboratory climate scientist Ben Santer found that while the models ran hot, the 'overestimation' was 'partly due to systematic deficiencies in some of the post-2000 external forcings used in the model simulations.",temperature_warming
Global human emissions are only 3 per cent of total annual emissions.,co2_emissions
The human contribution can be up to 30 percent or so of the total rainfall coming out of the storm,extreme_weather
Carbon dioxide hurts nobody's health.,co2_emissions
Climate change need not endanger anyone,general_climate_denial
"None of these places, which today supply much of the world's food, will be reliable sources of any.",general_climate_denial
the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century,temperature_warming
Several of the papers note that the primary influence on warming appears to be solar activity.,temperature_warming
"Despite recent attempts to paint the United States as a major global polluter, according to the World Health Organization (WHO), the U.S. is among the cleanest nations on the planet.",general_climate_denial
The report [...] found that the United States was one of the most pollution-free nations in the world.,co2_emissions
"Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.",co2_emissions
"The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.",general_climate_denial
This means the global temperature trend has now shown no further warming for 19 years,temperature_warming
Not everyone is convinced that the evidence is in that climate change is responsible for extreme swings between drought and deluge.,extreme_weather
Final data for 2016 sea level rise have yet to be published.,ice_sea_polar
"[...]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units [...] is beneficial, not damaging.",general_climate_denial
Marine life has nothing whatsoever to fear from ocean acidification.,ice_sea_polar
"It's far too early to tell if what we are seeing in the Arctic, and now the Antarctic, is a sharp shift towards warmer poles with less ice.",ice_sea_polar
"Unlike genuine pollutants, carbon dioxide (CO2) is an odorless, colorless gas.",co2_emissions
"But observations, such as those on our CO2 Coalition website, show that increased CO2 levels over the next century will cause modest and beneficial warming-perhaps as much as one degree Celsius (1.8 degrees Fahrenheit)",co2_emissions
"Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.",temperature_warming
Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.,extreme_weather
"The most famous of these studies, published in 2010 by Paul Kench and Arthur Webb of the South Pacific Applied Geoscience Commission in Fiji, showed that of 27 Pacific islands, 14% lost area.",climate_science
"(In technical lingo, the so-called social cost of carbon would be negative.)",co2_emissions
"...obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits, the federal debt, school choice, entitlement reform, and so on.",general_climate_denial
"The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere",co2_emissions
Coral bleaching has devastated 93% of the Great Barrier Reef,ice_sea_polar
cold kills many more people than heat.,temperature_warming
cold deaths actually occur during moderate temperatures,temperature_warming
"More than half of the 44 studies selected for publication found that raised levels of CO2 had little or no impact on marine life, including crabs, limpets, sea urchins and sponges",co2_emissions
We simply could never release enough CO2 into the atmosphere to cause the pH to go below 7 [the point in the pH scale at which a solution becomes acidic].,co2_emissions
"Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that ""a higher level of academic scepticism"" should be applied to the topic.",ice_sea_polar
"world temperatures, because they have gone up only very slowly, less than half as fast as the scientific consensus predicted in 1990",temperature_warming
"there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer",extreme_weather
"Antarctica is gaining land-based ice, according to a new study by NASA scientists published in the Journal of Glaciology",ice_sea_polar
U.S. Forest Service data show pine beetle infestations have recently declined dramatically throughout the western United States.,climate_science
"Severe storms, floods and agricultural losses may cost a great deal of money, but such extreme weather events-and their resulting costs-are dramatically declining as the Earth modestly warms.",extreme_weather
The late 1970s marked the end of a 30-year cooling trend.,temperature_warming
"receding polar ice caps have little if any negative impact on human health and welfare, and likely a positive benefit",ice_sea_polar
Eleven percent of all global greenhouse gas emissions caused by humans are caused by deforestation - comparable to the emissions from all of the cars and trucks on the planet.,co2_emissions
"Etna has already put more than 10,000 times the CO2 into the atmosphere than mankind has in our entire time on the Earth.",co2_emissions
"Human-produced carbon might be one of the factors of climate change, but there's simply no evidence that it is a significant one.",co2_emissions
"In no way, shape, or form are humans warming or cooling the planet.",temperature_warming
"I think about all the 194 countries that signed onto the Paris accord, the U.S. is the one that's leading the world in reducing emissions.",co2_emissions
"18 proxies tell us the world was the same or warmer 1,000 years ago.",general_climate_denial
The human contribution to global warming was about 0.01°C.,temperature_warming
New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars.,climate_science
Sea level rise due to climate change is not going to happen.,ice_sea_polar
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed.",temperature_warming
"according, again, to the official figures-during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined.",temperature_warming
Global warming' is a myth - so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,temperature_warming
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature.,temperature_warming
Sea level rise due to global warming is exaggerated.,temperature_warming
Arctic icemelt is a natural cycle.,ice_sea_polar
Increasing CO2 in the atmosphere has little to no effect.,co2_emissions
Human CO2 is a tiny fraction of CO2 emissions.,co2_emissions
Polar bear numbers are increasing.,ice_sea_polar
There's no empirical evidence for climate change.,climate_science
Sea level rise predictions are exaggerated.,ice_sea_polar
IPCC overestimate temperature rise.,temperature_warming
Southern sea ice is increasing.,ice_sea_polar
Sea level rise is decelerating.,ice_sea_polar
Humans are too insignificant to affect global climate.,general_climate_denial
Phil Jones says no global warming since 1995.,temperature_warming
Less than half of published scientists endorse global warming.,temperature_warming
Tuvalu sea level isn't rising.,ice_sea_polar
Renewables can't provide baseload power.,policy_energy
Ice Sheet losses are overestimated.,ice_sea_polar
Melting ice isn't warming the Arctic.,temperature_warming
97% consensus on human-caused global warming has been disproven.,temperature_warming
"CO2 increase is natural, not human-caused.",co2_emissions
Scientists retracted claim that sea levels are rising.,ice_sea_polar
Renewable energy investment kills jobs.,policy_energy
Greenland has only lost a tiny fraction of its ice mass.,ice_sea_polar
Arctic sea ice extent was lower in the past.,ice_sea_polar
Climate change isn't increasing extreme weather damage costs.,extreme_weather
IPCC human-caused global warming attribution confidence is unfounded.,temperature_warming
Weather and climate are different; climate predictions do not need weather detail.,extreme_weather
"Trenberth is talking about the details of energy flow, not whether global warming is happening.",temperature_warming
CFCs contribute to global waerming at a small level.,general_climate_denial
Satellite transmissions are extremely small and irrelevant.,climate_science
"(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.",co2_emissions
"Currently, Florida is one of only five states in the nation that prohibit citizens from buying electricity from companies that will put solar panels on your home or business.",policy_energy
"In reality, gas produced by fracking is worse for the climate than coal.",policy_energy
"In South Florida, ""we've had nine inches of sea-level rise since the 1920s.",ice_sea_polar
"Julia Gillard her decision not to argue against a fixed carbon price being labelled a ""carbon tax"" hurt her terribly politically.",co2_emissions
Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.,temperature_warming
"Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.",co2_emissions
Obama administration's Clean Power Plan would have little or no effect on carbon dioxide emissions.,co2_emissions
"Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth.",co2_emissions
"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",co2_emissions
"Scientists are ""questioning the original idea that man-made global warming is what is causing the climate to change.",temperature_warming
Scientists project that the Arctic will be ice-free in the summer of 2013.,ice_sea_polar
Solar panels drain the sun's energy.,policy_energy
"Surface temperatures on Earth ""have stabilized.",temperature_warming
The carbon footprint on wind [energy] is significant.,co2_emissions
The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions.,co2_emissions
"There are about 120,000 solar energy jobs in the United States, but only 1,700 of them are in Georgia.",policy_energy
there is no relationship between temperature and carbon dioxide emissions by Â­humans[...],co2_emissions
There is not a single candidate in the Republican primary that thinks we should do anything about climate change.,general_climate_denial
You're going to have an increase in the amount of ice in Antarctica because of global warming.,temperature_warming
Latest IPCC Reports (AR5) have shown global mean temperature forecasts from the 2005 IPCC report exceeded actual readings.,temperature_warming
During the period 1940 to 1976 there was a cooling of the climate despite increasing CO2 levels.,co2_emissions
"When life is considered, ocean acidification is often found to be a non-problem, or even a benefit.",ice_sea_polar
The rate of global sea level rise on average has fallen by 40% the last century.,ice_sea_polar
Heat waves have been decreasing since the 1930s in the U.S. and globally.,temperature_warming
Extreme weather isn't caused by global warming,temperature_warming
Greenland ice sheet won't collapse,ice_sea_polar
Scientists tried to 'hide the decline' in global temperature,temperature_warming
Global warming' and 'climate change' mean different things and have both been used for decades.,temperature_warming
IPCC overestimate temperature rise,temperature_warming
Humans are too insignificant to affect global climate,general_climate_denial
Dropped stations introduce warming bias,temperature_warming
Less than half of published scientists endorse global warming,temperature_warming
Tuvalu sea level isn't rising,ice_sea_polar
Renewables can't provide baseload power,policy_energy
97% consensus on human-caused global warming has been disproven,temperature_warming
Venus doesn't have a runaway greenhouse effect,co2_emissions
"CO2 increase is natural, not human-caused",co2_emissions
Renewable energy investment kills jobs,policy_energy
Greenland has only lost a tiny fraction of its ice mass,ice_sea_polar
Climate change isn't increasing extreme weather damage costs,extreme_weather
"Because current climate change is so rapid, the way species typically adapt (eg - migration) is, in most cases, simply not be possible.",general_climate_denial
"His best estimate is that the warming in response to a doubling of CO2 concentration, which may happen this century unless the usual suspects get away with shutting down the economies of the West, will be a harmless 1 Fahrenheit degree, not the 6 F predicted by the IPCC.",co2_emissions
"Some global warming 'skeptics' argue that the Earth's climate sensitivity is so low that a doubling of atmospheric CO2 will result in a surface temperature change on the order of 1°C or less, and that therefore global warming is nothing to worry about.",co2_emissions
Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.,co2_emissions
"As a result, ""The warmest year on US record is now 1934.",general_climate_denial
"Nevertheless over the last decade, daily record high temperatures occurred twice as often as record lows.",temperature_warming
"The 30 major droughts of the 20th century were likely natural in all respects; and, hence, they are ""indicative of what could also happen in the future,"" as Narisma",extreme_weather
Around 1990 it became obvious the local tide-gauge did not agree - there was no evidence of 'sinking.,climate_science
What you were not told was that the data that triggered this record is only available back to the late 1970s.,climate_science
"The public understand it, in that if you get a fall evening or spring evening and the sky is clear the heat will escape and the temperature will drop and you get frost.",temperature_warming
"If there is a cloud cover, the heat is trapped by water vapour as a greenhouse gas and the temperature stays quite warm.",co2_emissions
Economic assessments of proposed policy to put a price on carbon emissions are in widespread agreement that the net economic impact will be minor.,co2_emissions
"To suddenly label CO2 as a ""pollutant"" is a disservice to a gas that has played an enormous role in the development and sustainability of all life on this wonderful Earth.",co2_emissions
Mother Earth has clearly ruled that CO2 is not a pollutant.,co2_emissions
"Consequently, the total amount of Arctic sea ice in 2008 and 2009 are the lowest on record.",ice_sea_polar
Twentieth century global warming did not start until 1910.,temperature_warming
"With 32 years of rapidly increasing global temperatures and only a minor increase in global CO2 emissions, followed by 33 years of slowly cooling global temperatures with rapid increases in global CO2 emissions, it was deceitful for the IPCC to make any claim that CO2 emissions were primarily responsible for observed 20th century global warming.",co2_emissions
"Of the rise in temperature during the 20th century, the bulk occurred from 1900 to 1940.",temperature_warming
That drop in temperature came after what was described in the National Geographic as 'six decades of abnormal warmth'.,temperature_warming
"Satellite measurements indicate an absence of significant global warming since 1979, the very period that human carbon dioxide emissions have been increasing rapidly.",co2_emissions
"The world has entered a 'cold mode' which is likely to bring a global dip in temperatures which will last for 20 to 30 years, they say.",temperature_warming
The minute increase of anthropogenic CO2 in the atmosphere (0.008%) was not the cause of the warming-it was a continuation of natural cycles that occurred over the past 500 years.,co2_emissions
"However, it is unable to explain the long term warming trend over the past few decades.",temperature_warming
[T]he influence of so-called greenhouse gases on near-surface temperature - is not yet absolutely proven.,co2_emissions
"In the 11,400 years since the end of the last Ice Age, sea level has risen at an average of 4 feet/century, though it is now rising much more slowly because very nearly all of the land-based ice that is at low enough latitudes and altitudes to melt has long since gone.",ice_sea_polar
Human kind has little or nothing to do with the recent temperature changes.,temperature_warming
"Over the past 250 years, humans have added just one part of CO2 in 10,000 to the atmosphere.",co2_emissions
This argument originates from Angstrom's work in 1901.,general_climate_denial
"A July 6, 2007 study published in the journal Science about Greenland by an international team of scientists found DNA ""evidence that suggests the frozen shield covering the immense island survived the Earth's last period of global warming,"" according to a Boston Globe Article. ...",temperature_warming
"[T]he study indicates ""Greenland's ice may be less susceptible to the massive meltdown predicted by computer models of climate change, the main author ... said in an interview. ...",ice_sea_polar
Small amounts of very active substances can cause large effects.,general_climate_denial
Individual carbon dioxide molecules have a short life time of around 5 years in the atmosphere.,co2_emissions
The temperatures are expected to change by as much as 10 Fahrenheit degrees at different places of the globe.,temperature_warming
"In a paper published online this week in the Journal of Geophysical Research-Atmosphere, economics professor Ross McKitrick says the resulting discrepancies may be leading to an overstatement of the role of greenhouse gases in the atmosphere.",co2_emissions
"...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",co2_emissions
Australia accounts for 1.5 per cent of global carbon emissions.,co2_emissions
"Antarctic sea ice set a new record in October 2007, as photographs distributed by the National Oceanic and Atmospheric Administration showed penguins and other cold-weather creatures able to stand farther north on Southern Hemisphere sea ice than has ever been recorded.",temperature_warming
"NASA satellite data from the years 2000 through 2011 show the Earth's atmosphere is allowing far more heat to be released into space than alarmist computer models have predicted, reports a new study in the peer-reviewed science journal Remote Sensing.",temperature_warming
"Arctic summer sea ice has shrunk by an area equal to Western Australia, and might be all gone in a decade.",ice_sea_polar
"In fact, the rate of increase from September onward is the fastest rate of change on record, either upwards or downwards.",general_climate_denial
"Together, these two unaltered [sea level] datasets indicate that global mean sea level trend has remained stable over the entire period 1992-2007, altogether eliminating the apparent 3.2 mm/year rate of sea-level rise arising from the ""adjusted"" data.",ice_sea_polar
"The UN's Intergovernmental Panel on Climate Change misled the press and public into believing that thousands of scientists backed its claims on manmade global warming, according to Mike Hulme, a prominent climate scientist and IPCC insider.",temperature_warming
Benny Peiser conducted a search of peer-reviewed literature on the ISI Web of Science database between 1993 and 2003.,climate_science
The report suggests significantly smaller overall ice-mass losses than previous estimates.,ice_sea_polar
So recently the media picked up on the fact that CRU deleted the raw data for this important global temperature set long ago.,temperature_warming
If Senator Wong was really serious about her science she would stop breathing because you inhale air that's got 385 parts per million carbon dioxide in it,co2_emissions
Global warming data apparently cooked by U.S. government-funded body shows astounding temperature fraud with increases averaging 10 to 15 degrees Fahrenheit.,temperature_warming
"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".",temperature_warming
"Rather than 100 years of unprecedented global warming as predicted by IPCC, the global temperatures have leveled off and we seem to be heading for cooler weather.",temperature_warming
There is no single continuous satellite measurement of Total Solar Irradiance (TSI).,climate_science
"Even if the warming were as big as the IPCC imagines, it would not be as dangerous as Mr. Brown suggests.",temperature_warming
Cooks '97% consensus' disproven by a new peer,climate_science
"Over the three years from 1979 to 1982 when CO2 emissions were decreasing due to the rapid increase in the price of oil that drastically reduced consumption, there was no change in the rate of increase in atmospheric concentration of CO2 proving that humans were not the primary source for the increase in concentration.",co2_emissions
"The lower temperatures at this ""coldest point"" have caused global water vapor levels to drop, even as carbon levels rise.",co2_emissions
"Thus rather than a ""doomsday"" cycle of runaway warming, Mother Earth appears surprisingly tolerant of carbon, decreasing atmospheric levels of water vapor -- a more effective greenhouse gas -- to compensate.",co2_emissions
"While preventing global warming is relatively cheap, economists can't even accurately estimate the accelerating costs of climate damages if we continue with business-as-usual.",temperature_warming
"Yet the cost of doing something will likely be higher than 6 per cent of GDP"" (Bjorn Lomborg)",policy_energy
Venus is not hot because of a runaway greenhouse.,co2_emissions
"About 60% of the warming observed from 1970 to 2000 was very likely caused by the above natural 60-year climatic cycle during its warming phase"" (Loehle and Scafetta)",temperature_warming
"However, more direct comparisons between solar activity and global temperature finds that as the sun grew hotter or cooler, Earth's climate followed it with a 10 year lag - presumably due to the dampening effect of the ocean.",temperature_warming
"that atmospheric CO2 increase that we observe is a product of temperature increase, and not the other way around, meaning it is a product of natural variation...",co2_emissions
"...there has been no increase in the global average surface temperature for the past 16 years"" (Judith Curry and David Rose)",temperature_warming
"No warming since at least 1995, no melting glaciers and now no rising sea levels.",temperature_warming
"This was the case last year too, while earlier years in the DMI analysis period (1958-2010) hardly ever shows Arctic melt season temperatures this cold (Frank Lansner)",temperature_warming
"Disasters Cost More Than Ever - But Not Because of Climate Change"" (Roger Pielke Jr.)",general_climate_denial
CO2 constitutes 80% of the non-condensing greenhouse gas forcing.,co2_emissions
the Great Barrier Reef is in fine fettle,ice_sea_polar
