title,content,type
"""Bubble baby"" stem cell treatment looks like a cure","Days after bringing home her newborn twin daughters, Alysia Vaccaro could sense Evangelina wasn't as healthy as her sister.

""I had a baby to compare her to and I just knew, something was wrong with her,"" Vaccaro told CBS News.

Her mother's intuition was right. Testing revealed Evangelina was born with Severe Combined Immunodeficiency, also called SCID or ""bubble baby"" disease.

It's a genetic disorder that leaves the body with a weakened immune system, making infants extremely vulnerable to illness. It affects cells that play important roles in helping the immune system battle bacteria, viruses and fungi that can cause infections. Even the common cold can be deadly.

Symptoms of the disease are frequently first noticed very early in life, as was the case with Evangelina. Babies with SCID often come down with recurrent, severe respiratory infections that can be life threatening, according to the American Academy of Allergy, Asthma and Immunology.

""We wore masks, we had hand sanitizer, we had raw hands from cleaning so much,"" Vaccaro recalled.

The Vaccaros turned to Dr. Donald Kohn at the Broad Stem Cell Research Center at UCLA, where Kohn focuses on the development of new methods to treat genetic diseases of blood cells. They enrolled baby Evangelina in a clinical trial there.

Dr. Kohn said of an experimental treatment for SCID, ""It's gone from a 'one day, maybe' to a real clinical reality.""

That means an actual cure for the disease, said Kohn, who is also director of the Human Gene Medicine Program at UCLA. His treatment involves taking bone marrow from the patient to gather stem cells. A cloned gene is then added to correct what was missing at birth.

""Those stem cells are given back to the patient where they can go back to the bone marrow and make the blood cells for the rest of the patient's life,"" Kohn said.

Evangelina is now 3 and healthy. CBS News

So far, the treatment has restored immune systems in all 23 patients in the most recent clinical trials, including Evangelina.

""It is a cure. I know it's a cure. We're living the cure,"" said Vaccaro.

Now 3 years old, doctors say Evangelina is in perfect health.

Dr. Kohn is currently working with the FDA to make his treatment available nationwide. He's also testing the same method as a cure for sickle cell disease. Clinical trials for that treatment are now underway.",diagnostics_devices_drugs
"Health Buzz: Dried Plums May Reduce Colon Cancer Risk The sweet snack can affect gut bacteria, researchers say.","Here's another reason to snack on dried fruit. Researchers have announced that people who eat dried plums as part of a regular diet can reduce their risk for developing colon cancer.

This discovery was made by researchers at Texas A&M University and the University of North Carolina, and presented at the 2015 Experimental Biology conference in Boston.

""Through our research, we were able to show that dried plums promote retention of beneficial bacteria throughout the colon, and by doing so they may reduce the risk of colon cancer,"" Nancy Turner, study author and professor in the nutrition and food science department of Texas A&M University, said in a press release.

Turner and colleagues examined how dried plums' antioxidants neutralized the type of changes that occur when cancerous cells damage the DNA. They found that when rats were fed a controlled diet of dried plums, two major phyla of bacteria in the gut – Bacteroidetes and Frimicutes – increased, without negatively impacting other areas of the colon.

They also observed that those who were on the dried plum diet showed reduced numbers of aberrant crypts, which are early signs of precancerous lesions considered to be a red flag for future cancer.

""From this study we were able to conclude that dried plums did, in fact, appear to promote retention of beneficial microbiota and microbial metabolism throughout the colon, which was associated with a reduced incidence of precancerous lesions,"" Turner said in the release.

The researchers plan to conduct additional research in humans.",cancer
Vaccine offers new hope for removing precancerous cervical lesions,"""Every standard therapeutic option for women with these lesions destroys part of the cervix, which is particularly relevant for women of childbearing age, who may then be at risk for pre-term birth due to a weakened cervix,"" said Dr. Cornelia Trimble, professor of gynecology and obstetrics, oncology, and pathology at the Johns Hopkins University School of Medicine, and first author of the new report, which appeared online Sept. 17 in The Lancet. ""A vaccine able to cure precancerous lesions could eventually be one way women can avoid surgery that is invasive and can also harm their fertility.""",cancer
"Surprising news about teens, marijuana, and health issues. It’s all good.","Researchers from the University of Pittsburgh Medical Center and Rutgers University studied 408 males from adolescence to their mid-30s. The participants fell into four groups: those with no use or low use of marijuana, early chronic users, those who only smoked during their teens and those who began using it later and continued using the drug. The early chronic users smoked a great deal -- a peak of more than 200 days per year on average when they were 22 years old.

AD

AD

The researchers found no links to physical or mental health issues -- including depression, psychotic symptoms or asthma -- in any group, even those with very high use. They controlled for cigarette smoking, other drug use, access to health insurance and other factors.

""What we found was a little surprising,"" lead author Jordan Bechtold, a research fellow at the University of Pittsburgh Medical Center, said in a statement.

Based on other studies in the past that seemed to allude to marijuana use and later development of psychotic symptoms such as delusions or hallucinations, the researchers had thought they might find some associations to disease or other health conditions. But there were none.

AD

They also found no link to a wide range of other health issues: cancer, asthma, respiratory problems, depression, anxiety, allergies, headaches or high blood pressure.

AD

Bechtold said the researchers wanted to ""help inform the debate about legalization of marijuana"" but that this is a very complicated issue and one, study, including his own, should not be taken in isolation and should be viewed in context of other studies on teenagers' marijuana use.

One major limitation of the study is that it ends when the men are in their 30s ""which may be too early for decrements in health to emerge,"" the authors acknowledge. ""Therefore, continued data collection and longer follow-ups are needed.""

AD

Update: The study's findings generated significant controversy along with requests for supplemental analysis, according to the editors of the Psychology of Addictive Behaviors. In a lengthy clarification issued in December 2015, the journal said that by applying different models to look at the data they confirmed that there did not appear to be any link between marijuana use and health issues. However, the reanalysis regarding psychotic disorders contradicted the earlier conclusions -- that there indeed appeared to be a higher risk of psychotic disorders among marijuana users in the study versus non-users that approached statistical significance when using a more liberal test.

Read more:

AD",lifestyle_diet_alt_med
Brain training app could help people with schizophrenia,"LONDON (Reuters) - A “brain training” iPad game developed in Britain may improve the memory of patients with schizophrenia, helping them in their daily lives at home and at work, researchers said on Monday.

Scientists at Cambridge University said tests on a small number of patients who played the game over four weeks found they had improvements in memory and learning.

The game, “Wizard”, is designed to help so-called episodic memory — the type of memory needed to remember where you left your keys several hours ago, or to remember a few hours later where you parked your car in a multi-storey car park.

Schizophrenia is a long-term mental health condition that causes a range of psychological symptoms, ranging from changes in behavior through to hallucinations and delusions.

While some psychotic symptoms can be reasonably well treated with medication, patients often still have debilitating problems with memory and cognitive function, meaning they struggle to get back to work or stay in education.

There is increasing evidence that computer-assisted training can help people with schizophrenia overcome some of their symptoms, with better outcomes in their daily lives.

This study, published in the journal Philosophical Transactions of the Royal Society B, found that 22 patients who played the memory game made significantly fewer errors and needed significantly fewer attempts to remember the location of different patterns specific tests.

They also improved their scores on the Global Assessment of Functioning (GAF) scale, which doctors use to rate the social, occupational and psychological functioning of adults.

Importantly, the patients also said they enjoyed the game and were motivated to play it across the eight hours of cognitive training. The researchers said this was important, since lack of motivation is a common feature of schizophrenia.

“We need a way of treating the cognitive symptoms of schizophrenia, such as problems with episodic memory, but slow progress is being made toward developing a drug treatment,” said Barbara Sahakian from the department of psychiatry at Cambridge University.

“This proof-of-concept study...demonstrates that the memory game can help where drugs have so far failed. (And) because the game is interesting, even those patients with a general lack of motivation are spurred on to continue the training.”",diagnostics_devices_drugs
"Pill may make pizza, pasta safe for gluten-free diners","A new pill may help gluten-free diners enjoy pizza, pasta and other gluten-containing fare they regularly have to avoid during social gatherings.

Researchers at the University of Alberta have developed a pill using egg yolk antibodies that helps coat gluten, allowing it to pass from the body without doing any damage, the Canadian Broadcasting Corporation (CBC) reported.

“My friend is celiac. We haven’t had any entertaining with beers. So that’s why I developed this pill – for my friend,” Hoon Sunwoo, an associated professor of pharmaceutical sciences at UAlberta, told the CBC.

Celiac disease is an autoimmune disorder in the small intestine that makes patients sensitive to gluten. Patients would take Sunwoo’s pill five minutes before eating and have a one-to-two hour window of eating foods they typically avoid, the CBC reported.

However, Sunwoo warns the pill is neither a long-term solution for patients nor is it a cure for the disease— just an aid to help improve quality of life.

“This is not treating the celiac disease or curing celiac disease,” he told local media. “It’s just to try to help them improve their quality of life so when they want to socialize with peers or friends.”

Researchers expect to begin clinical trials with the pill in 2016, CBC reported.",chronic_disease
Alzheimer’s May Show Up in Saliva,"The latest advances in Alzheimer’s disease involve people who don’t appear to show any signs of cognitive decline yet. Experts now believe that the biological processes behind the neurodegenerative condition begin years, if not decades, before memory problems and confusion become noticeable.

At the annual Alzheimer’s Association International Conference, researchers say they have found a series of substances in saliva that can distinguish between people who experience normal aging, those with mild cognitive dementia (MCI, which in some cases can lead to Alzheimer’s and in other cases not), and Alzheimer’s disease.

Presenting at the meeting, Shraddha Sapkota, a graduate student in neuroscience at University of Alberta, and her colleagues described how they carefully analyzed the saliva of a group of volunteers participating in an aging study. Some had been diagnosed with Alzheimer’s and some with MCI, while others did not have any neurological conditions. By comparing their saliva components, the scientists found that each of the three groups showed slightly different patterns of compounds, which could form the basis of a relatively easy and non-invasive way to determine which people are at higher risk of developing more serious degenerative brain conditions.

The results aren’t conclusive enough yet for doctors to start using them to distinguish people who are more likely to develop Alzheimer’s, but that’s the goal, says Sapkota. Ideally, for example, isolating those with MCI might help doctors to focus in on a group of patients who might be at higher risk of developing Alzheimer’s and therefore might need more intensive and regular testing.

Contact us at editors@time.com.",diagnostics_devices_drugs
Here’s how a five-day diet that mimics fasting may ‘reboot’ the body and reduce cancer risk,"AD

AD

Co-author Valter D. Longo, who studies longevity, described the idea behind fasting as a way to ""reboot"" a person's body by clearing out damaged cells and regenerating new ones.

""It's about reprogramming the body so it enters a slower aging mode, but also rejuvenating it ..."" he said. ""It's not a typical diet because it isn't something you need to stay on.""

The diet described in the study -- which the researchers dubbed the ""Fasting Mimicking Diet"" -- isn't quite as extreme as actual fasting. It works like this:

For 25 days out of the month, dieters can eat as they normally would -- the good, bad and in-between. Then for day one of the diet, they would eat 1,090 calories: 10 percent protein, 56 percent fat and 34 percent carbohydrates. For days two through five, 725 calories: 9 percent protein, 44 percent fat, 47 percent carbohydrates.

AD

AD

In the study, participants consumed a lot of vegetable soup, kale crackers and chamomile tea. The calories consumed are 54 to 34 percent of what a typical person might eat in a day.

The participants in the study did this for three cycles or three months before the researchers measured them and found decreased risk factors and biomarkers for disease with no major adverse side effects.

Petronella Ravenshear, a nutritional therapist in London, told the Telegraph that the new diet ""is less of a stressor on the body than complete fasting.""

""It supplies most of the carbohydrates in the form of vegetables which are packed with phytonutrients and minerals and positively good for us, rather than grain-derived carbohydrates which don’t supply much except sugar,"" she said.

AD

Special report:

HUMAN UPGRADE:

Part I: Tech titans' latest project: Defy death: For centuries explores have searched the Earth for the fountain of youth. Today's billionaires think they can create it, using technology and data.

AD

Part II: The revolution will be digitized: Spearheaded by the flood of wearable devices, a movement to quantify consumers' lifestyles is evolving into big business with immense health and privacy ramifications.

Read more:

AD",lifestyle_diet_alt_med
New tests offer hope for millions of patients with irritable bowel syndrome,"An estimated 25 million to 45 million Americans suffer from irritable bowel syndrome, or IBS, a gastrointestinal condition that can cause miserable symptoms. Making it worse for many patients, there hasn't been a conclusive test to diagnose what's wrong with them. Without proof of a physical cause, some doctors considered IBS a psychological disorder.

But that could finally change with the introduction of two simple new blood tests for spotting the disease. Dr. Mark Pimentel of Cedars-Sinai Medical Center in Los Angeles developed the tests.

""We now have a test to say, you have a disease,"" Pimentel told CBS News. ""Having a test like this shortens the time of suffering, it shortens the time of investigation and accelerates getting the patient directly to treatment.""

New tests for common gastrointestinal disorder

The tests, which measure antibodies in the blood, were based on research suggesting that IBS may develop after infection from a bacterial toxin found in food poisoning. Researchers believe the toxin triggers the immune system to attack a person's intestinal tract long after the toxin is gone.

Irina Obenauer was diagnosed with IBS years ago after suffering from diarrhea and bloating, but it took doctors a long time to rule out other possible diagnoses first.

""There's always kind of a 'trend of the week' that you had to go and get tested for and rule out, and at the end of the day you don't feel better,"" she said.

She got the new blood test to confirm her diagnosis, and when it came back positive, she said she felt a sense of relief knowing IBS wasn't all in her head.

""I'm not saying the symptoms went away,"" she said, but she ""started to feel more whole.""

CBS News chief medical correspondent Dr. Jon LaPook, who is also a practicing internist and gastroenterologist, points out that the test is not perfect. While a positive test result is highly suggestive of IBS, only 44 percent of patients with IBS tested positive, meaning that many people who test negative could in fact still have the condition.",diagnostics_devices_drugs
Ending the multivitamin debate: Why taking one may actually save your life,"Numerous studies in recent years have suggested that vitamins and supplements have no beneficial effect on your health. Some researchers have gone as far as to warn that popping them may be harmful.

But the fact is that most of us cannot get the vitamins and minerals we need from food alone, and multivitamins are vital to bridging that gap. According to a study published in the January 2015 edition of the Journal of the American College of Nutrition, roughly 40 percent of adults are deficient in vitamin A, C, D, E, calcium and magnesium. These findings suggest many people may not even have the nutrient levels they need to stave off disease— let alone thrive and live in optimal health. As I see it, everyone needs a multivitamin for disease prevention, and new research agrees.

ADVERTISEMENT ADVERTISEMENT

Another study, published in the January 2015 edition of the journal Postgraduate Medicine, suggests that 68,000 cancers per year would be prevented with daily multivitamin use. The study followed only men, but my take is there’s no reason to assume this doesn’t apply to women as well. In the study, multivitamins lowered cancer risk by 27 percent among men with a history of cancer and by 8 percent among men with no history of the disease. This new study used a randomized, controlled trial design— a method that is considered to be the “gold standard” for proof in medical science.

I’ve always recommended targeted vitamin supplementation to my patients because when you boost levels of key nutrients in your body, you give yourself the best chances of preventing cancer, heart disease, dementia and other diseases.

While several previous studies failed to prove the benefits of some vitamins, the fact is, many of those studies have been criticized for poor design and are the reason fewer tangible benefits have been proven. At the very least, you should be taking a multivitamin every day. That said, not all multivitamins are created equal— some contain cheaper and less absorbable forms of nutrients, so you won’t get their full benefits, and others have ingredients you should be wary of.

Here are a few tips for selecting a high-quality multivitamin that will help you look and feel your best:

Go for high quality

When you look at a typical multivitamin label at the drugstore, you’ll see it has about 100 percent of the daily values recommended for a nutrient. The federal government developed these values during World War II to prevent widespread nutrient deficiency— so while that amount should be enough to make sure you have what you need to survive, it won’t necessarily be enough for optimal health.

In some of the higher-quality supplements, you'll see things like Vitamin B-6 at 2,500 percent of your daily value. That may sound wacky, but keep in mind that 100 percent is just the level for basic survival— and that 2,500 percent is going to give you more of what you actually need to feel good. Look for high-quality brands with these higher doses. Because I know there can be a lot of guesswork when it comes to finding a good multivitamin, I created my own formula specifically designed to provide key nutrients that boost your energy, which is available on my website.

Get one that will be absorbed well by your body

Some forms of vitamins are better absorbed in your body. When scanning the label, look for B12 as methylcobalamin as opposed to cyanocobalamin, and when it comes to folic acid, look for methyltetrahydrofolate (MTHF) rather than straight folic acid. Both are forms of B9, but MTHF is the form of B9 found in nature. For vitamin A, look for beta carotene and mixed carotenoids, which are derived from plants and are water soluble. And look for vitamin D3 as opposed to D2. Seventy years ago, these two forms of vitamin D were seen as equals, but recent research has shown that D3 is a more potent form of D.

Avoid toxic fillers

Some vitamin companies use colorants and coatings that may be harmful. These include hydrogenated oils, artificial colors, magnesium stearate and titanium dioxide. Magnesium stearate could even compromise your immunity— a study in the journal Immunology found that stearic acid suppresses T cells, a key part of your immune system. The vitamins you take should enhance your health, so be sure to scan the labels for these cheap additives and steer clear of them.

Dr. Jennifer Landa is Chief Medical Officer of BodyLogicMD, the nation's largest franchise of physicians specializing in bioidentical hormone therapy. Dr. Jen spent 10 years as a traditional OB-GYN, and then became board-certified in regenerative medicine, with an emphasis on bio-identical hormones, preventative medicine and nutrition. She is the author of ""The Sex Drive Solution for Women."" Learn more about her programs at www.jenlandamd.com.",lifestyle_diet_alt_med
Is proton therapy the ‘magic bullet’ for cancer?,"(CNN) Even after decades of battling one of the world's biggest killers, the treatment of cancer is still an inexact science.

Successful methods such as chemotherapy work by killing the cancer cells, but they also destroy healthy tissue.

Health practitioners have been searching for a magic bullet that goes straight to the source of the cancer -- and everything from monoclonal antibodies, which carry cancer drugs direct to cancer cells, to straight surgery to cut out tumors have been used with varying degrees of success.

In Belgium, engineer and nuclear physicist Yves Jongen is pioneering a new therapy that targets cancers with proton radiation; a therapy that offers precision and minimal side effects.

""I started to designing equipment (for) proton therapy of cancer -- that was a radically new idea,"" Jongen told CNN.

Encased in a two-metre thick concrete bunker that serves as a radiation shield, one of Jongen's cyclotron machines produces proton beams to treat cancer patients.

""In this space we accelerate the protons and we give them a higher and higher velocity until they reach two thirds of the speed of light -- that's 200,000 km per second and this acceleration takes place in the shape of a spiral,"" he said.

It does a lot less collateral damage to the patient - that's the great thing about proton therapy Yves Jongen

""That's needed if you want to be able to penetrate one foot into the body of a patient.""

Once the proton beam has been generated, it's piped into a treatment room where patients receive a powerful dose of targeted radiation that kills only those cancerous cells.

""It does a lot less collateral damage to the patient,"" Jongen said. ""That's the great thing about proton therapy.""

While proton therapy is a giant step forward, it's not yet the magic bullet that clinicians are looking for. So far, it is not effective against all types of cancer.

""There are a number of cancers which are not localized,"" he said. ""If you look at leukemia, which is cancer of the blood cells, there is nowhere to shoot -- it's all through the body.""

The other drawback is that the cyclotron is not cheap.

Each system -- and the bunker needed to house it -- doesn't leave much change from $125 million. Currently there are just 43 operational particle therapy facilities worldwide , with a total of 121 treatment rooms.

As the fame of the process has started to spread, some people have been taking desperate measures to get treatment. One British couple last year even sparked an international manhunt after they removed their son from hospital without doctors' permission to get to a proton center in Prague in the Czech Republic.

Proton treatment is limited on Britain's National Health Service. Just one center in the north of the country offers proton therapy for certain types of eye tumors. Other centers, however, are currently in development.

Yves Jongen

While the proton therapy market is expected to more than double by 2018, with an estimated 300 proton therapy rooms, Jongen's Brussels-based company IBA is working on a smaller and cheaper model they hope will make proton therapy more accessible.

""It would be much less expensive making it more possible for a hospital to afford it -- a smaller system can already treat a relatively large number of patients per year.""

At the moment, fewer than 1% of cancer patients are treated with proton therapy, but Jongen is hopeful that smaller and cheaper machines will be the game changer.

""I have a number of letters from parents of young kids saying if it had not been for this treatment we would have lost our kid,"" he said.

""That's something I really cherish. When I feel a bit depressed, for whatever reason, I go back to those letters and they are very exciting.""

Read more from Make, Create, Innovate:",cancer
Walnuts for Diabetes,"Andrew Scrivani for The New York Times

Eating walnuts may reduce the risk for Type 2 diabetes in women, a large new study concludes.

Previous studies have suggested an inverse relationship between tree nut consumption and diabetes. Though the findings are correlational, walnuts are uniquely high in omega-3 and omega-6 fatty acids, which may be of particular value in Type 2 diabetes prevention.

The scientists, writing in the April issue of The Journal of Nutrition, used dietary and health data on 138,000 women participating in a large continuing study of women’s health. Beginning in 1999 they collected data on walnut consumption, and followed the women for the next 10 years. They found 5,930 cases of Type 2 diabetes.

Women who ate walnuts tended to weigh less, consume more fish and exercise more than those who did not. But researchers controlled for these and many other factors, and found that compared with women who ate no walnuts, those who consumed 8 ounces of walnuts or more a month reduced their risk for Type 2 diabetes by 24 percent.

“There’s been a lot of research on nuts in general in relation to cardiovascular health,” said the senior author, Dr. Frank B. Hu, a professor of medicine at Harvard. “This is the first on walnuts and diabetes. Walnuts may have some unique benefits.”

The study was supported with grants from the National Institutes of Health and the California Walnut Commission.",general_health
New method allows better prostate cancer testing,You are using an older browser version. Please use a supported version for the best MSN experience.,general_health
Certain Arthritis Patients Fare Worse After Joint Replacement: Study,"En Español

WEDNESDAY, Nov. 28, 2012 (HealthDay News) -- Patients with rheumatoid arthritis are more likely to suffer hip dislocation after hip replacement surgery than those with osteoarthritis, a new study says.

In addition, rheumatoid arthritis patients have a higher infection risk after total knee replacement than osteoarthritis patients, the study authors found.

Rheumatoid arthritis, which is felt throughout the whole body, is caused when a person's immune system attacks his or her own tissues. Osteoarthritis, which is usually felt only in the joints, is caused by wear and tear on the body.

For the study, the investigators analyzed the findings of 40 studies published between January 1990 and December 2011. The studies included arthritis patients aged 18 or older who had hip or knee replacements.

The findings are published in the Nov. 28 online edition of Arthritis & Rheumatism.

""Joint arthroplasty is successful in relieving the pain and disability caused by hip or knee arthritis,"" study author Dr. Bheeshma Ravi, from the University of Toronto and Women's College Research Institute, said in a journal news release. ""While complication rates are low, there are some cases with serious consequences that include infection, joint dislocation, blood clots and even death.""

The study team found no differences between the two groups of arthritis patients in rates of follow-up surgery, or 90-day blood clot or death risk.

Rheumatoid arthritis affects about 1.3 million people in the United States, while osteoarthritis affects 27 million Americans aged 25 and older, according to the American College of Rheumatology.

More information

The U.S. National Institute of Arthritis and Musculoskeletal and Skin Diseases has more about hip replacement.",chronic_disease
Israeli medical device offers new Alzheimer’s treatment,"TEL AVIV (Reuters) - Israel-based Neuronix, which has developed a non-invasive medical device to help to treat Alzheimer’s disease, expects the system to be approved by the U.S. Food & Drug Administration in late 2014.

Neuronix CEO Eyal Baror poses for a photo next to a newly-developed device to treat Alzheimer's disease at Assaf Harofeh Medical Center near Tel Aviv October 24, 2012. REUTERS/Nir Elias

The device, which combines electromagnetic stimulation with computer-based cognitive training, is already approved for use in Europe, Israel and several Asian countries such as Singapore.

“You stimulate the brain on a biological level as well as on a cognitive level,” Neuronix CEO Eyal Baror told Reuters, saying this double approach created longer-lasting benefits.

The device, which consists of a chair containing an electronic system and software in the back and a coil placed at the head, has been tested on mild to moderate Alzheimer’s patients who suffer from dementia but are not totally dependent.

The system is in trials at Harvard Medical School/Beth Israel Deaconess Medical Centre. Patients are treated for one hour a day, five days a week over six weeks.

“We see improvement lasting for 9-12 months and the good thing is that patients can return and undergo treatment again,” Baror said. “If out of 10 years the patients have left to live we can keep them at home in a relatively mild state of the disease for three, four, five years, it’s a lot.”

According to Alvaro Pascual-Leone, director of the hospital’s Berenson-Allen Centre for Non-invasive Brain Stimulation, brain stimulation - or transcranial magnetic stimulation - involves a very low current applied to a specific part of the brain and is approved by the FDA for treatment of a variety of ailments and diagnostic applications.

“The application in Alzheimer’s disease and in combination with cognitive training is novel,” Pascual-Leono said in a phone interview from Boston.

About 20 percent of patients experience a mild headache but there are no long-term negative effects, he said.

Pascual-Leone, who is principal investigator in the Harvard trial, said that of 12 patients in the study, six received the real treatment and all showed cognitive improvement. Their improvement was significantly more than the average seen in patients taking just medication, he said.

The study’s results will be submitted for publication in the coming weeks and a follow-up study on 30 patients is planned.

Neuronix received European approval several months ago and has installations in the UK and Germany. In Israel, a few dozen patients are being treated with the device.

The U.S. trials are expected to run till the end of 2013. Neuronix is also running a trial in Israel for pre-Alzheimer’s patients.

The company expects to sell half a dozen systems in the second half of 2012 and three dozen in 2013. In Israel, the treatment costs $6,000.

“Our target for becoming profitable is in parallel to entering the U.S. market around 2015,” Baror said.

Neuronix has raised $8 million from private individuals as well as in grants from the Israeli Chief Scientist’s Office and is exploring options to raise more money in the coming year, including the possibility of going public.",general_health
Measuring Brain Plaques May Yield Clues to Alzheimer’s Risk,"En Español

MONDAY, Oct. 15, 2012 (HealthDay News) -- A large amount of beta amyloid, or ""plaques,"" in the brain may trigger more significant memory loss in healthy older people than the genetic risk factor associated with Alzheimer's disease, known as the APOE ɛ4 allele, according to new research from Australia.

""Our finding that brain-plaque-related memory decline can occur while people still have normal memory and thinking shows that these plaque-related brain changes can be detected and measured while older people are still healthy,"" said study author Yen Ying Lim, of the University of Melbourne. ""This provides an enormous opportunity for understanding the development of early Alzheimer's disease and even a sound basis for the assessment of plaque-targeting therapies.""

The researchers had nearly 150 older adults with no thinking or memory problems undergo a PET brain scan. The participants, who were an average age of 76, also were tested for the APOE gene.

The group's brain function was monitored for 18 months using computer-based tests, card games and having the participants memorize word lists.

The study results are published in the Oct. 16 issue of the journal Neurology.

Over the course of the study, the people who began with more brain plaques had up to 20 percent greater decline on the computer-based assessments of memory than the people who had fewer brain plaques.

The researchers also found the participants who carried the APOE gene had greater memory loss than those who did not have this genetic risk factor. They noted, however, that carrying the gene did not affect memory decline associated with the plaques.

""Our results show that plaques may be a more important factor in determining which people are at greater risk for cognitive impairment or other memory diseases such as Alzheimer's disease,"" Lim said in a journal news release. ""Unfortunately, testing for the APOE genotype is easier and much less costly than conducting amyloid imaging.""

Although the researchers discovered an association between plaques and increased memory loss, they did not prove a cause-and-effect relationship.

More information

The U.S. National Institute on Aging provides more information on Alzheimer's disease.",general_health
Covidien tools shown effective against PAD,"A study released this week by medical technology firm Covidien could lead to wider use of its tools that cut through blockages in leg arteries.

The results showed that atherectomy, the practice of trimming away the plaque that causes peripheral artery disease (PAD), is just as effective at restoring blood flow as traditional angioplasty and stents. The company says this is a major step forward in treating PAD because, unlike stents, atherectomy ""leaves no metal behind.""

A stent is a tiny metal wire mesh tube that props open an artery and is left there permanently. But in leg arteries, the active flexing can cause a stent to break. Being able to clear the blockage just as well without stents reduces possible complications and gives greater flexibility to doctors later, said Brian Verrier, vice president and general manager of peripheral vascular for Covidien.

""This particular product plays very strongly into where we see the market going,"" he said. ""The potential is huge.""

Atherectomy is only used in about 15 to 20 percent of PAD cases, but Dr. Lawrence Garcia, a principal investigator in the study, said he expects that to change with these results.

""I think it has the potential to increase business for Covidien,"" Garcia, chief of interventional cardiology and vascular interventions at St. Elizabeth's Medical Center in Boston, said Thursday. He said he has no financial stake in the company.

The study is the largest to look at the effectiveness of atherectomy, Covidien said, and enrolled 800 patients at 47 centers in the U.S. and Europe. Doctors found that Covidien's SilverHawk and TurboHawk devices, which are snaked down through a small incision near the groin and basically shave away and remove the plaque, performed as well after 12 months as angioplasty and stenting.

The devices had been developed at EV3 Inc., a Plymouth med-tech company that Covidien acquired in 2010.

Thomas Gunderson, a senior analyst for Piper Jaffray & Co., said the Covidien study could lead to greater use of atherectomy and a bigger market.

""It's a good opportunity,"" Gunderson said. ""This will reawaken both the users and the nonusers to say, wait a second, now we have data.""

Also of note, Garcia said, is that the procedure proved as effective at improving blood flow for patients with diabetes as those without diabetes. It's a key finding, because patients with diabetes usually suffer from more advanced PAD and the blood vessels re-clog faster than for those who do not.

Covidien, based in Ireland, has its U.S. headquarters in Massachusetts. It also has a significant presence in the Twin Cities. In 2010, it acquired EV3, a maker of technology that treats lower extremity vascular and neurovascular diseases.

According to the American Heart Association, about 10 million people in the U.S. are affected by PAD, which can lead to heart attack, stroke, amputation and death. It occurs when arteries in the legs become narrowed or blocked by plaque. Blockages can result in severe pain, limited mobility and nonhealing leg ulcers.

James Walsh • 612-673-7428",cardiovascular
"New Anti-Clotting Drug Bests Warfarin, Study Says","MONDAY, Oct. 1, 2012 (HealthDay News) -- A new anti-clotting drug called apixaban was better than warfarin at preventing stroke in patients with the heart rhythm disorder atrial fibrillation, a new study found.

Data from more than 18,000 patients also found that apixaban was safer overall than warfarin, and tended to cause less bleeding in the skull in patients who faced the highest risk of bleeding.

The findings suggest that the current risk scoring systems for tailoring anti-clotting (anticoagulant) treatment to individual patients may be less relevant when using apixaban for patients with atrial fibrillation who have at least one risk factor for stroke, according to the Duke University Medical Center researchers.

""The benefits of apixaban are preserved, regardless of the risk score used and regardless of the patient risk category,"" study author and cardiologist Dr. Renato Lopes said in a Duke news release. ""With new oral anticoagulants, such as apixaban, we might not need risk scores to guide treatment decisions for stroke prevention in patients with atrial fibrillation. This may simplify how physicians make decisions and also improve patient care.""

Study co-investigator Dr. Jack Ansell agreed.

""This analysis provides further support for the benefit of apixaban, but given the very low risk of bleeding with apixaban, it also suggests that the current stroke and bleeding risk scores may not be sensitive enough to tease out those patients with the very lowest risk of stroke who might benefit from apixaban therapy,"" said Ansell, who is chairman of the department of medicine at Lenox Hill Hospital in New York City and a consultant to Bristol-Myers Squibb and Pfizer, the companies that are marketing the drug as Eliquis. The drug has not yet been approved by the U.S. Food and Drug Administration.

The study was published online Oct. 1 in The Lancet.

Apixaban showed a 21 percent relative reduction in the incidence of strokes or systemic embolisms (clots) when compared to warfarin, a 31 percent relative reduction in major bleeding and an 11 percent relative reduction in overall mortality, the researchers found.

Atrial fibrillation affects more than 2.6 million people in the United States. In people with atrial fibrillation, disorganized electrical activity causes ineffective contraction of the upper chambers of the heart. This increases the risk for blood clots that can cause stroke.

Current practice guidelines permit the use of either anti-clotting therapy with aspirin or warfarin. Aspirin is less effective than warfarin, but carries a lower risk of bleeding for patients with atrial fibrillation and one risk factor for stroke.

More information

The U.S. National Heart, Lung, and Blood Institute has more about atrial fibrillation.",cardiovascular
