content,type
joe biden is absolutely on board with defunding the police.,race_protest_police
"piles of bricks are being staged in cities around the country, indicating riots are planned.",race_protest_police
the death of george floyd was a staged event.,race_protest_police
president trump tweeted that he spoke with george floyds family and said they were honored to hear from him.,political_general
nancy pelosi called social security recipients leeches and burdens on society.,economy_taxes_jobs
this is tara reade in a photo with joe biden.,political_general
marquette university threatened to rescind students admission over pro-trump tiktok video.,political_general
greta thunberg going on hunger strike until trump is removed.,political_general
"while we are all sitting here debating, wisconsin has kicked hundreds of thousands of people off of their voting rolls.",elections_voting
target ended its heroes & helpers program that pairs children with police officers for holiday shopping trips.,race_protest_police
"socialist workers party leader bernie sanders supported ayatollah khomeini against the us, condemned president carter for imperialism, and accused the hostages of being cia spies.",political_general
joe biden has advocated cutting social security for 40 years,economy_taxes_jobs
starbucks ceo has admitted she doesnt like white people,race_protest_police
"with voting by mail, you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.",elections_voting
you weren't allowed to own a cannon during the revolutionary war as an individual.,political_general
years of economic decay are over because trump reversed the failed economic policies of the previous administration.,political_general
"the nfl agreed to give the domestic terror group, blm, 250 million dollars.",race_protest_police
a photo shows a center for global population reduction at the bill & melinda gates foundation headquarters.,political_general
george floyd appeared on judge judy.,race_protest_police
we've done more tests in eight days than south korea has done in eight weeks.,political_general
"In a letter in July 2020, Seattle Police Chief Carmen Best told residents and business owners, ""We cannot enforce the law. You are on your own,"" or words to that effect.",race_protest_police
"A photograph shows buses purchased by Black Lives Matter to ""transport members to riots.",race_protest_police
"George Floyd, the Minneapolis man who died in police custody in May 2020, appeared on ""Judge Judy"" as a teenager.",race_protest_police
"A photograph shows President Obama, Dr. Anthony Fauci, and Melinda Gates at a laboratory in Wuhan, China, in 2015.",covid_health
The common allergy drug Benadryl can be used to treat rattlesnake bites.,political_general
"The 9/11 Memorial & Museum and the World War II Memorial, both in New York state, were vandalized during Black Lives Matter protests in the spring of 2020.",race_protest_police
"A photograph of a scantily clad singer represents ""antifa"" in a Seattle anti-police-brutality protest zone in summer 2020.",race_protest_police
A photograph shows an arrested looter amid social unrest in 2020 wearing blackface.,political_general
Antifa and Muslim organizations in summer of 2020 were planning to police the streets of Minneapolis under Muslim rule.,race_protest_police
"Black Lives Matter ""members and supporters"" are tampering with or poisoning the orders of white patrons at fast food restaurants.",race_protest_police
"A photograph shows Joe Biden's great-grandfather, Joseph J. Biden, a Confederate soldier who owned slaves in the 1800s.",race_protest_police
"An official Black Lives Matter flyer labels white men, women, and children as ""the enemy.",race_protest_police
"A photograph shows Aracely Henriquez, a woman who was allegedly assaulted by George Floyd in a robbery.",race_protest_police
"Ã¬Â°Â1⁄2Ã­AntifaÃ¬Â°Â1⁄2Ã­ posted an ad on the Lincoln, Nebraska, Craigslist website offering to pay protesters Ã¬Â°Â1⁄2Ã­to cause as much chaos and destruction as possible.Ã¬Â°Â1⁄2Ã­",race_protest_police
A video shows protesters and members of antifa attacking the Texas Children's Hospital and terrorizing a child during spring 2020 demonstrations against police brutality.,race_protest_police
"A video shows U.S. President Donald Trump mocking the death of George Floyd and/or Eric Garner by pretending to choke and saying, ""I can't breathe.",race_protest_police
"The Obama Foundation mysteriously tweeted an image of a protest sign with George Floyd's face on it on May 16 and 17, 2020, more than a week before his death.",race_protest_police
A photograph shows razor wire atop a newly constructed security fence outside the White House.,political_general
A photograph shows the Lincoln Memorial after it was defaced by Black Lives Matter (BLM) protesters.,race_protest_police
"In June 2020, Starbucks was offering free Frappuccino drinks to anyone who shouted ""Black Lives Matter"" inside their cafes.",race_protest_police
A photograph shows former U.S. President Barack Obama and first lady Michelle Obama marching with protesters in June 2020.,race_protest_police
"A clip from the animated series ""Sailor Moon"" features the heroes calling police officers ""dirty pigs,"" ""fascists,"" and ""class traitors.",race_protest_police
LEGO pulled police- and White House-themed toys in response to nationwide protests following the death of George Floyd.,race_protest_police
U.S. President Donald Trump (or his administration) has the legal authority to designate antifa as a terrorist organization.,race_protest_police
Black Lives Matter activists threatened in social media posts to assassinate white families.,race_protest_police
"A group calling itself ""Antifa America"" threatened to ""take what's ours"" from the suburbs in May 2020 after rioting in the nation's major cities in protest of the death of a black man in police custody.",race_protest_police
"U.S. President Donald Trump complained about his experience in the White House bunker on Twitter, saying that President Barack Obama left it in a bad shape, with no food or supplies.",media_censorship
"MSNBC used footage from the zombie apocalypse film ""World War Z"" as if it were live footage of the 2020 George Floyd protests.",race_protest_police
"The TV show ""The Simpsons"" predicted the death of George Floyd.",race_protest_police
"Internet and cell service for people protesting police brutality in Washington, D.C., turned off for a temporary ""blackout"" on June 1.",race_protest_police
A photograph shows Adolf Hitler holding a bible in a crowd.,political_general
"A photograph shows members of the NYPD wearing ""I Can Breathe"" shirts mocking the death of George Floyd.",race_protest_police
"Photographs show tigers, hippos, and giraffes that escaped from various zoos during widespread protests in May 2020.",race_protest_police
A video shows police officers attempting to arrest an FBI agent during the George Floyd protests in 2020.,race_protest_police
"An image shows a recruitment flyer for a group seeking to hire ""professional anarchists.",political_general
"A photograph shows a number of figures in white hoods Ã¬Â°Â1⁄2Ã­Â»Ã¬Â°Â1⁄2 presumably belonging to the Ku Klux Klan, a white supremacy group Ã¬Â°Â1⁄2Ã­Â»Ã¬Â°Â1⁄2 at a May 2020 gathering in Mississippi.",race_protest_police
Viral video shows a riot taking place in the Mall of America as protests erupted in response to the death of George Floyd in May 2020.,race_protest_police
"Derek Chauvin, whom news reports identified as the cop who kneeled on the neck of George Floyd before he died, was honored for his service by U.S. President Donald Trump at a 2019 rally.",race_protest_police
"A photograph shows former Minneapolis police officer Derek Chauvin wearing a ""Make Whites Great Again"" hat.",race_protest_police
"Michelle Obama was ""caught"" wearing Mary Todd Lincoln's stolen jewels.",political_general
President Trump issued an order deeming church an essential business.,political_general
"A baseball player using an axe as a bat cut the ball in two with his swing and knocked half of it over the fence, scoring half a run and winning the game.",political_general
U.S. Sen. Mitt Romney endorsed 2020 Democratic presidential candidate Joe Biden.,political_general
"Additional entries to a ""You Had a Hunch the News System Was Rigged?"" list document several familial relationships between prominent U.S. political figures.",elections_voting
Alaska Airlines is offering a chance to win two free tickets to users who complete a survey.,political_general
State Farm canceled Michael Bloomberg's life insurance policy after the candidate announced Hillary Clinton as his pick for vice president.,political_general
A U.S. military airplane lost in 1945 mysteriously reappeared 75 years later.,political_general
Former U.S. Vice President Joe Biden's 2020 presidential campaign forced the staff of an Iowa public library to remove an American flag.,elections_voting
"HealthCare.gov, otherwise known as the ""Obamacare"" website, cost $5 billion.",economy_taxes_jobs
black lives matter injures 1000 police officers kills 36 people and does $8 billion in damage.,race_protest_police
a photo showing ellen degeneres with a girl is evidence of a child sex-trafficking conspiracy.,political_general
scores of politicians and others are on a list of sex cases from newly unsealed ghislaine maxwell court documents.,political_general
the average cost of child care in this country is more than what it costs to send a child to college for one year.,political_general
"when byron donalds wanted a state job, he lied, claiming he wasnt a felon despite convictions for drugs and felony theft.",economy_taxes_jobs
california has six extra congressional representatives because illegals are counted in the census.,immigration_religion
bubba watson wrote a viral facebook post about black lives matter.,race_protest_police
"haley stevens plan for socialized medicine would eliminate 100,000 doctors and nurses.",political_general
"under an executive order, expensive insulin went from big dollars to virtual pennies _Â¦ especially (for) our seniors.",political_general
cnn is at it again. putting a black guys head on a lily white dude to push an agenda.,media_censorship
milwaukee police were protecting a sex offender's house and snuck children out of it after a mother tracked her missing daughter to that address.,race_protest_police
absentee voting is different from mail-in voting and has more protections against fraud.,elections_voting
actor kurt russell said this about the police.,race_protest_police
america was the only country that ended slavery,political_general
"a patch on law enforcement officers in portland is for zti solutions, a private contractor.",political_general
"photos show portland, ore., after protests.",race_protest_police
black lives matter is a terrorist organization.,race_protest_police
"the longest filibuster in u.s. history was 75 days and took place in 1964, when democrats tried to block the civil rights act.",political_general
spongebobs license address is jeffrey epsteins private island!,political_general
joe biden takes a knee after spotting an american flag near his childhood home in pennsylvania.,political_general
florida state senate candidate ray rodrigues is promoting illegal immigration.,immigration_religion
portland goon squads were blackwater contractors not federal officers.,political_general
"say that according to the los angeles times, 95% of warrants for murder in los angeles are for illegal aliens, more than two-thirds of all births in los angeles county are to illegal alien mexicans on medicaid, nearly 60% of all occupants of hud properties are illegal, and nancy pelosi wants to put a windfall tax on retirement fund profits.",immigration_religion
@mark warner and his party bosses are calling to defund the police...,race_protest_police
photo shows huge charter busses black lives matter bought to transport members to riots.,race_protest_police
walmart has just pledged $100 million to black lives matter.,race_protest_police
mark zuckerberg's real name is jacob greenberg and hes the grandson of billionaire david rockefeller.,conspiracy
no u.s. presidents elected before donald trump were racist.,race_protest_police
"quotes tom brady as saying, if anyone on my team kneels, i quit.",political_general
gov. gretchen whitmer defunded the michigan state police and the prisons.,race_protest_police
we're setting record job numbers.,economy_taxes_jobs
kroger stores are charging a blm charge.,race_protest_police
the united nations new world order agenda will create one world government with one world military and the end of national sovereignty.,conspiracy
"the estate tax would punish family farms and small businesses, forcing them to be sold off instead of passed on to the next generation.",economy_taxes_jobs
quotes joe biden as saying we need to teach our children the islamic faith in our schools!,immigration_religion
president donald trump is still yet to say anything as the president of the united states about bounties on american troops.,political_general
bank of america just pledged $1 billion dollars to black lives matter.,race_protest_police
teachers are the number one occupation of the antifa terrorist organization according to the fbi.,race_protest_police
the new york times published tucker carlsons home address and location.,political_general
"joe biden said, we dont need any more n***** bigshots.",political_general
"barack obama signed the law authorizing federal agents to snatch protesters off the streets in portland, ore.",race_protest_police
john james wants to allow insurance companies to discriminate against people with preexisting conditions.,political_general
since trump labeled antifa a terrorist organization their rights were stripped by the patriot act which states if someone is labeled a terrorist they are not afforded due process.,race_protest_police
"nine antifa members arrested in portland, ore.",race_protest_police
12 white female bodies in garage freezer tagged black lives matter.,race_protest_police
the fbi uncovered 256 texts between adam schiff and jeffrey epstein,political_general
president donald trump tweeted that south dakota needs to keep its border with california closed.,immigration_religion
donald trump tweeted that the confederate flag is a symbol of love!! plantations kept black people employed and gave them free food and housing!!! black unemployment was very low back then like now with me as your president!!,race_protest_police
old c-span footage of joe biden introducing man in blackface.,political_general
photo shows chuck schumer kissing this child on epstein island!,political_general
"joe biden plans to mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. that basically means no windows, no nothing.",political_general
research shows that children feel pressure to become sexually active because of comprehensive sex education.,political_general
wisconsin republicans pushed for long lines and polls open for one day only.,elections_voting
"under joe bidens policy, immigrants in the country illegally get welfare benefits. united states citizens don't get what they're looking to give illegal immigrants.",immigration_religion
betsy devos said only 0.02% of kids are likely to die when they go back to school.,political_general
"first off, its in statute already in hipaa that preexisting conditions are covered.",political_general
weis food stores will no longer sell anything with the american flag and their employees can no longer wear anything with the flag.,political_general
registered republican not allowed to vote.,elections_voting
democratic mayors in some of wisconsin's largest cities closed voting locations in april to cause chaos.,elections_voting
amber alerts are issued for white kids but not black kids in milwaukee.,political_general
"hillary clinton is on trial, she (supposed) to have killed a 10-year-old girl.",political_general
"and i heard that just yesterday, joe biden said that well-armed police in his words become the enemy and he said that he would absolutely cut funding for law enforcement.",race_protest_police
texas education agency commissioner mike morath is requiring teachers to return to classrooms while he has closed his offices at tea through january.,covid_health
"florida state rep. heather fitzenhagen turned her back on president trump, refusing to ban sanctuary cities.",immigration_religion
police unions have it written into a contract that (officers) are not going to be accountable for misconduct.,race_protest_police
"quotes lebron james as saying, i dont want nothing to do with white people. i dont believe they want anything to do with me. i dont want no (white) friends. its me and my boys.",race_protest_police
u.s. rep. matt cartwright proposes to defund the wilkes-barre police.,race_protest_police
federal officials confirmed that the cdc sent states tainted lab test kits in early february that were themselves seeded with the virus.,covid_health
"photo shows raz simone, the alleged leader of chaz crying after seattle police arrested him.",race_protest_police
a photo shows donald trump embracing jeffrey epstein in the back of a limousine.,political_general
"for the first time, the honor guard soldiers that march at the tomb of the unknown soldier in arlington cemetery have been issued live ammunition.",political_general
"gary peters fought against funding for the va, veterans housing programs, military pay raises, and health care and research for veterans and their families. he also fought against funding for processing veterans disability claims.",economy_taxes_jobs
the presidents daily brief is like a mini novel.,political_general
melania trumps dress at mount rushmore speech was designed from drawings of several young victims of sex trafficking.,political_general
"the national coin shortage was done intentionally, the mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money.",political_general
republicans didn't increase state funding for nursing homes in the last budget.,political_general
"while voters were distracted, (gov. j.b.) pritzker gave huge pay raises to his politician buddies.",elections_voting
"china has been stealing our manufacturing, costing wisconsin almost 90,000 jobs.",economy_taxes_jobs
john elway told nfl players kneel on my field and youre fired on the spot.,political_general
joe biden supported the castro regime and meeting with maduro.,political_general
a denver international airport mural of people wearing masks was painted in 1994.,covid_health
an image from the st. louis protest is what msm (mainstream media) wont show you. peaceful demonstrator pointing weapon at homeowner.,race_protest_police
advertisements for [scott] milnes travel company allow milne to illegally use corporate funds.,political_general
old photo shows georgia gov. brian kemp and his mother wearing kkk garb.,race_protest_police
"kamala harris said once trumps gone from the white house, well be coming for you next. you will feel the vengeance of a nation.",political_general
drunk nancy pelosi was removed from the house floor for cursing at republicans.,political_general
joe bidens great-grandfather joseph j. biden was a slave-owner and fought for the confederacy.,political_general
george floyd has hair in one shot but is bald in the shots of him laying on the ground.,race_protest_police
as a state lawmaker a bill he sponsored would have made it easier to get rid of bad cops,political_general
antifa are killing our police. looting our businesses. assaulting the elderly and burning our churches.,race_protest_police
chick-fil-a now open sunday (blacks only).,political_general
kill a white on sight appears on black lives matter/antifa flyers.,race_protest_police
of course i will always protect those with preexisting conditions. always.,political_general
a craigslist ad was soliciting anti-trump protesters in phoenix.,race_protest_police
"protest vandalism in richmond all started two weeks ago when mayor stoneys police gassed - tear gassed - a peaceful crowd of protesters, moms and children, at 7:30 p.m. sharp.",race_protest_police
police officer is the occupation with the highest suicide rate of any profession.,race_protest_police
photo shows klansmen and a burning cross at the democratic national convention of 1924.,political_general
americas most violent cities are that way because of their democratic politics,political_general
aunt jemima was photographed chained to a table.,political_general
images of crowds and crowded arenas were taken today in tulsa oklahoma,political_general
obamas daughters caught on camera burning us flag at dc protest.,race_protest_police
photo shows the bok center full with people during donald trumps tulsa rally.,political_general
a bar graph compares homicides for various racial groups,race_protest_police
nascar announced that driver bubba wallace mistook a serpentine automotive belt for a noose in his garage stall.,political_general
photos show the inside of the bok center during donald trumps rally in tulsa.,political_general
"companies that use prison labor: whole foods, mcdonalds, walmart, victorias secret, at&t, bank of america, starbucks, wendys.",political_general
obama foundation posted picture of george floyd before he died.,race_protest_police
"former slave nancy green, the first aunt jemima model, died as one of americas first black millionaires.",economy_taxes_jobs
"as a lawyer working in korea, nate mcmurray helped send american jobs to asia",economy_taxes_jobs
cnn aired a video of a toddler running away from another toddler with the headlines terrified toddler runs from racist baby and racist baby probably voted for trump.,race_protest_police
tim tebow kneeled in protest of abortion during the national anthem in 2012. he was praised by fans as being a model american.,race_protest_police
"even so-called moderate democrats like joe biden have endorsed a ban on fracking, which would eliminate 516,000 michigan jobs and reduce the states gross domestic product by $159 billion over five years.",economy_taxes_jobs
before he planned a rally on june 19 nobody had ever heard of juneteenth.,political_general
californias registered independent voters will not be able to vote republican come 2020.,elections_voting
"antifa now banging on residents doors in seattle, demanding food & supplies. if they dont get it, the house gets vandalized.",race_protest_police
president obama and vice president biden never even tried to fix this (police reforms) during their eight-year period.,race_protest_police
these elite figures are on house arrest with ankle monitors due to child trafficking crimes.,political_general
163 paid protesters just filed a lawsuit against george soros for not paying their bail.,race_protest_police
"while in prison, boxer jack johnson invented and patented the first wrench, and white people insulted him by calling it a monkey wrench.",race_protest_police
nazi germanys hermann g_Â£_Â¶ring worked to defund and eliminate the police departments so that they would not interfere with his brown shirts.,race_protest_police
speaker pelosi presents a special service flag to mr. floyds family.,political_general
nascar bans the confederate flag but forces all their drivers to do muslim prayer.,race_protest_police
the state of maryland issued these independence day 2020 safety guidelines.,covid_health
the point of defunding the police in minneapolis is that minnesota is where obama settled 1 million islamics. they want sharia law.,race_protest_police
cnn lightened the photo of the man who drove into the protester last night in seattle.,race_protest_police
"photo of beaten woman is aracely henriquez, a pregnant woman who george floyd assaulted during an armed robbery.",race_protest_police
united states navy seal team ... helicopter was shot down yesterday in afghanistan and they lost 30 members of the team.,political_general
"donald trump is recruiting excited and enthusiastic minority actors and actresses to appear at his campaign rally in tulsa, okla.",elections_voting
"all money donated to black lives matter goes directly to act blue, a democrat super pac that then feeds the money to democrat candidates.",race_protest_police
the buffalo protester pushed to the ground had been previously arrested 300 times. 82 times for incitement. riots is what he does for a living.,race_protest_police
wearing the kente cloth worn by affluent african slave traders is like honoring jews by wearing swastikas.,political_general
photo shows that chick-fil-a distributed back the blue t-shirts to employees in response to recent protests over police brutality.,race_protest_police
george floyd at his own funeral and george floyd three days ago.,race_protest_police
hillary clinton is on trial for bengazi (sic) this week.,political_general
"trump supporters tackled an antifa thug, unmasked him, duct taped him to an electrical box.",race_protest_police
it wasn't a big deal when bill clinton held up the bible in front of the same exact church (as donald trump).,political_general
a photograph shows u.s. soldiers sleeping on the ground after washington d.c.s mayor kicked them out of local hotels.,political_general
buffalo protester shoved by police could be an antifa provocateur. 75 year old martin gugino was pushed away after appearing to scan police communications in order to black out the equipment ... was aiming scanner. could be a set up?,race_protest_police
"a mans injuries from falling after police officers shoved him in buffalo, n.y. were staged.",race_protest_police
donald trump cancelled bill gates project known as id2020.,political_general
joe biden wants to defund the police.,race_protest_police
"a new law adopted in texas means property tax bills are no longer really dependent on your values, it is on (local government) revenue growth.",political_general
"a declaration of disaster, has been issued for the state of texas. house bill 1177 allows any texan who can legally own a firearm to carry their handgun, open or concealed, for a full week after a state or natural disaster is declared.",guns_violence
text from someone connected to raleigh police: antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs.,race_protest_police
"the man pictured in a mugshot is not derek chauvin, the officer who was recorded kneeling on george floyds neck.",political_general
this man who was kicked and stomped was killed by an antifa murderer.,race_protest_police
hes the one who gave the nickname mad dog to former defense secretary james mattis.,political_general
"the ceo of the company that owns wendys, taco bell, and pizza hut donated $400,000 towards trumps re-election campaign.",elections_voting
photos show cemeteries and war memorials damaged during george floyd demonstrations.,race_protest_police
joe bidens presidential campaign donated $20 million to bail out protesters.,elections_voting
"white busses marked soros riot dance squad spotted in michigan: its official, the riots are staged.",race_protest_police
donald trump got exposed for raping a 13-year-old in retaliation for law enforcement officers killing black people.,race_protest_police
"if protesters blocking the road start banging on your windows, threatening you and trying to get in your vehicle, it is legal to hit the gas and plow through them.",race_protest_police
a rioter accidentally dropped a riot manual with detailed instructions.,race_protest_police
a photo shows adolf hitler holding a bible like donald trump.,political_general
"if president trump decides to deploy the u.s. military domestically, he would be mobilizing u.s. military troops on american soil for the first time since 1807.",political_general
zoo animals were released during protests in chicago.,race_protest_police
rocks being dropped off in cages in la for rioters. compliments of george soros.,race_protest_police
"officials in washington, d.c., are jamming all communications.",political_general
blm fresno riots will begin at 4 p.m. in river park on 06/02/20,race_protest_police
antifa is warning that tonight they're moving out of the cities - and into residential areas to 'take what's ours.,race_protest_police
ex-minneapolis officer accused of killing george floyd commits suicide in prison cell.,race_protest_police
"during protests outside the white house, mayor muriel bowser wouldn't let the d.c. police get involved.",race_protest_police
george floyds death and the ensuing protests were planned to introduce martial law and purge the united states.,race_protest_police
the naacp has endorsed me every time i've run.,political_general
protesters broke into the white house.,race_protest_police
"an image of armed anti-lockdown protesters and an image of unarmed minneapolis protesters being tear gassed were taken in the same state, same month.",race_protest_police
this is 76 year old senile joe biden!!! that is a 15 year old girl with whom hes making out!!!,political_general
"right now, china controls 80% of all ingredients and raw materials going into our generic prescription drugs.",political_general
twitter is completely stifling free speech by adding a fact-check label to trumps tweet.,media_censorship
a photo shows donald trump with derek chauvin - the cop who killed george floyd.,race_protest_police
"the woman in this photograph is margaret sanger, founder of planned parenthood, meeting with the ku klux klan in 1926, silver lake, new jersey.",race_protest_police
"california gov. gavin newsom is sending ballots to millions of people, anyone living in the state, no matter who they are or how they got there, will get one and the election is rigged.",elections_voting
ron howard wrote a facebook post about being a liberal.,media_censorship
there are many unanswered and obvious questions about the 2001 death of a staff member of joe scarborough.,political_general
joe biden tells voters he's 'going to beat joe biden.,elections_voting
40% of the initial small business funds didnt go to small businesses at all.,economy_taxes_jobs
trump re-signed 1952 law making muslamic law illegal,immigration_religion
the house democrats snuck a provision into their $3 trillion bailout bill today that would keep the house in recess until july 21.,economy_taxes_jobs
ron johnson and 36 other senators voted for federal agencies to have access to your internet history without obtaining a warrant.,political_general
rogue michigan official sent absentee ballots to 7.7 million people illegally and without authorization ahead of the primaries and general election.,elections_voting
"gop state sen. patrick testin is responsible for lost $25m in federal funding, because he refused to do his job.",economy_taxes_jobs
the feds closed the courtroom when el chapo started naming democrats he paid off.,political_general
"gov. tony evers is proposing a new plan, a 150 day shutdown of the state (5 months!) followed by a 120 day extension.",political_general
clinton foundation investigator kenneth mccormick found dead.,political_general
a girl was decapitated in front of her parents by a somali migrant. media covered up the murder.,immigration_religion
democrats introduce bill to euthanize seniors to save social security.,economy_taxes_jobs
"joe biden said voting by mail is a way to fundamentally change this country, contradicting past statements by barack obama and debbie wasserman schultz.",elections_voting
an economics professor taught her students about socialism by socialising grades and failing all of them,political_general
trump revokes barack obamas security clearance.,political_general
attorney general william barr didnt cite the rule of law in explaining his decision in the michael flynn case during a cbs news interview.,political_general
illinois got into fiscal problems because of a republican governor who was governor there before gov. j.b. pritzker.,political_general
wisconsin has no tracing program going on that we can speak of.,political_general
wisconsin gov. tony evers wants to force residents to fund planned parenthood abortion business.,political_general
"quotes gov. gretchen whitmer as saying, now is not the time to live by the constitution, its time to put that damn thing in a shredder.",political_general
"alexandria ocasio-cortez compared trump to jesus, calling both con artists.",political_general
"joe biden was involved in a plot to kidnap jfk jr. according to the just declassified fbi files, and also made several threats.",political_general
president trump has banned welfare for illegal immigrants which will save $57.4 billion a year.,immigration_religion
breaking news kim jong un has pass(ed) away.,political_general
nancy pelosi tweeted that she was disgusted with donald trump over taxes,economy_taxes_jobs
nancy pelosis 4th husband filed for divorce.,political_general
bill murray said social media is training us to compare our lives ... no wonder why everyone is depressed.,media_censorship
"wisconsin is run by democrats right now, so they should address election social distancing concerns.",elections_voting
"as soon as i endorsed (supreme court justice daniel kelly), the wisconsin democrats said, lets move the election to two months later.",elections_voting
joe biden stuck a gun in an elderly womans mouth at a wisconsin rally,guns_violence
deputy comptroller aycha sawa blocked an audit of the milwaukee lead program for three years that put our children in danger and spurred a criminal investigation.,political_general
rival jill karofsky wants to disarm law abiding citizens.,political_general
even fairfax county doesnt pay the kind of (school administration) salaries that richmond is paying right now.,economy_taxes_jobs
jill karofsky as a prosecutor went easy on a madison man in a 1999 sexual assault case,political_general
"swing state hit with 2020 voting lawsuit - accused of registering over 1,500 deceased people in pennsylvania.",elections_voting
a marquette professor called him a maverick and found no correlation between his opinions and conservative background.,political_general
nate mcmurray wants to reward illegals with amnesty.,immigration_religion
"so trump comes to nashville to oversee damage from the tornado. he flies into the area in a helicopter to get there without further traffic problems in the city. he writes personal checks to those in need, with his personal accountant in tow.",political_general
you can get a free $100 lowes coupon by answering a few questions,political_general
replacing marriage licenses with domestic union contracts does not alter state or federal benefits.,political_general
joe biden just announced on cnn he will completely shut down drilling for oil and natural gas on day one of his administration.,media_censorship
"ive passed more bills than sen. larson has, because ... he hasnt passed any.",political_general
"a list of 11 names are marines that gave their lives this week for everyone in this country. there is no media for them, not even a mention of their names.",political_general
oprah winfreys house has been seized and they are excavating the property and digging up the tunnels!,political_general
"because the federal reserve recently cut interest rates to near 0%, the fed will be of little consequence now. theyve already used what leverage they have.",political_general
